model,scenario,region,variable,unit,year,value
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2020,74.77170602734448
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2025,41.79891220285713
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2030,41.35778861823187
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2035,34.9959458089456
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2040,24.47690196641285
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2045,24.48641267746578
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2050,23.61
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2055,23.61
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2060,23.53352782531134
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2070,22.51455339097743
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2080,22.51455339097744
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2090,22.51455339097744
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Biomass,GW,2100,22.51455339097744
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2020,14.69414021588627
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2025,18.84172165098881
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2030,17.53716372052988
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2035,20.88170722470723
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2040,25.50142907657487
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2045,33.89495669431137
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2050,45.65661692007359
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2055,61.98215452749788
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2060,84.96102609673207
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2070,154.946654463733
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2080,281.3236607459551
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2090,448.576082870563
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Geothermal,GW,2100,558.6674698565946
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2020,1177.641460534615
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2025,1334.634620005088
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2030,1354.908396688116
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2035,1621.073454197784
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2040,1727.427507336841
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2045,1774.1447353415
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2050,1874.5918900822
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2055,1905.941311597329
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2060,1931.177073981357
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2070,1962.380653842852
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2080,1986.368404118759
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2090,2009.069284551636
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Hydro,GW,2100,2030.658494104975
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2020,787.2730594125998
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2025,2047.162738379995
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2030,4678.439620829567
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2035,6816.982192044754
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2040,8719.211852469612
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2045,11454.51807979122
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2050,13979.67609002588
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2055,16641.82758177571
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2060,18802.35753412948
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2070,22512.84579568531
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2080,25949.96556479477
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2090,28756.67075587259
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Solar,GW,2100,32040.96787926432
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2020,733.4795899999995
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2025,1279.369845239999
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2030,1804.708234157144
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2035,2044.17917431113
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2040,2635.751103128278
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2045,3513.226381634278
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2050,5179.304563444125
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2055,7221.334123957632
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2060,8897.728060721722
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2070,11991.46583862133
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2080,13998.2938896512
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2090,16462.20876178935
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Capacity|Electricity|Wind,GW,2100,18814.5865469588
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2025,362.8211780995736
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2030,321.3199346035053
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2035,300.4834821263393
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2040,290.28368525236914
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2045,270.39660288014954
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2050,255.81230201244705
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2055,237.54555363510767
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2060,214.99980014738895
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2070,184.70367149648217
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2080,169.19549986748015
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2090,157.2746938152372
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CH4,Mt CH4/yr,2100,149.42933860261945
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CO2,Mt CO2/yr,2025,42731.25892802239
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CO2,Mt CO2/yr,2030,35878.855704011214
MESSAGEix-GLOBIOM-GAINS 2.1-M-R12,SSP2 - Low Emissions,World,Emissions|CO2,Mt CO2/yr,2035,30473.358813073704
