approach,region,value,off,yplot
ECPC 1990,AFR,0.88,FALSE,0.88
ECPC 1990,CHN,-0.07,FALSE,-0.07
ECPC 1990,EEU,-0.26,FALSE,-0.26
ECPC 1990,FSU,-0.45,FALSE,-0.45
ECPC 1990,LAM,0.4,FALSE,0.4
ECPC 1990,MEA,0.39,FALSE,0.39
ECPC 1990,NAM,-1.35,FALSE,-1.35
ECPC 1990,PAO,-0.72,FALSE,-0.72
ECPC 1990,PAS,0.43,FALSE,0.43
ECPC 1990,RCPA,0.55,FALSE,0.55
ECPC 1990,SAS,0.79,FALSE,0.79
ECPC 1990,WEU,-0.06,FALSE,-0.06
ECPC 2015,AFR,0.93,FALSE,0.93
ECPC 2015,CHN,0.06,FALSE,0.06
ECPC 2015,EEU,0.25,FALSE,0.25
ECPC 2015,FSU,0.15,FALSE,0.15
ECPC 2015,LAM,0.62,FALSE,0.62
ECPC 2015,MEA,0.5,FALSE,0.5
ECPC 2015,NAM,-0.29,FALSE,-0.29
ECPC 2015,PAO,0.03,FALSE,0.03
ECPC 2015,PAS,0.62,FALSE,0.62
ECPC 2015,RCPA,0.61,FALSE,0.61
ECPC 2015,SAS,0.84,FALSE,0.84
ECPC 2015,WEU,0.45,FALSE,0.45
ECPC 2025,AFR,0.96,FALSE,0.96
ECPC 2025,CHN,0.52,FALSE,0.52
ECPC 2025,EEU,0.63,FALSE,0.63
ECPC 2025,FSU,0.62,FALSE,0.62
ECPC 2025,LAM,0.81,FALSE,0.81
ECPC 2025,MEA,0.73,FALSE,0.73
ECPC 2025,NAM,0.4,FALSE,0.4
ECPC 2025,PAO,0.57,FALSE,0.57
ECPC 2025,PAS,0.81,FALSE,0.81
ECPC 2025,RCPA,0.79,FALSE,0.79
ECPC 2025,SAS,0.92,FALSE,0.92
ECPC 2025,WEU,0.76,FALSE,0.76
CAPC 1990,AFR,0.94,FALSE,0.94
CAPC 1990,CHN,-0.52,FALSE,-0.52
CAPC 1990,EEU,-1.76,FALSE,-1.76
CAPC 1990,FSU,-1.25,FALSE,-1.25
CAPC 1990,LAM,0.06,FALSE,0.06
CAPC 1990,MEA,-0.2,FALSE,-0.2
CAPC 1990,NAM,-8.46,TRUE,-3
CAPC 1990,PAO,-5,TRUE,-3
CAPC 1990,PAS,-0.01,FALSE,-0.01
CAPC 1990,RCPA,0.58,FALSE,0.58
CAPC 1990,SAS,0.82,FALSE,0.82
CAPC 1990,WEU,-2.2,FALSE,-2.2
CAPC 2015,AFR,0.97,FALSE,0.97
CAPC 2015,CHN,-0.97,FALSE,-0.97
CAPC 2015,EEU,-0.61,FALSE,-0.61
CAPC 2015,FSU,-0.25,FALSE,-0.25
CAPC 2015,LAM,0.45,FALSE,0.45
CAPC 2015,MEA,0.09,FALSE,0.09
CAPC 2015,NAM,-3.51,TRUE,-3
CAPC 2015,PAO,-1.89,FALSE,-1.89
CAPC 2015,PAS,0.35,FALSE,0.35
CAPC 2015,RCPA,0.53,FALSE,0.53
CAPC 2015,SAS,0.84,FALSE,0.84
CAPC 2015,WEU,-0.43,FALSE,-0.43
CAPC 2025,AFR,0.98,FALSE,0.98
CAPC 2025,CHN,-0.03,FALSE,-0.03
CAPC 2025,EEU,0.22,FALSE,0.22
CAPC 2025,FSU,0.45,FALSE,0.45
CAPC 2025,LAM,0.72,FALSE,0.72
CAPC 2025,MEA,0.53,FALSE,0.53
CAPC 2025,NAM,-0.99,FALSE,-0.99
CAPC 2025,PAO,-0.24,FALSE,-0.24
CAPC 2025,PAS,0.69,FALSE,0.69
CAPC 2025,RCPA,0.72,FALSE,0.72
CAPC 2025,SAS,0.91,FALSE,0.91
CAPC 2025,WEU,0.4,FALSE,0.4
