approach,region,value
ECPC 1990,NAM,4.601509914188341
ECPC 1990,WEU,5.840755611656207
ECPC 1990,CHN,13.929084690682986
ECPC 1990,EEU,1.2290593354200512
ECPC 1990,FSU,3.38558561267788
ECPC 1990,MEA,7.676887447332763
ECPC 1990,RCPA,1.726924201067887
ECPC 1990,PAO,1.620342066867306
ECPC 1990,LAM,7.665570457009839
ECPC 1990,SAS,23.6116709147354
ECPC 1990,PAS,7.475349408305965
ECPC 1990,AFR,21.237260340055386
ECPC 2015,NAM,4.502645157602091
ECPC 2015,WEU,5.5528713684751745
ECPC 2015,CHN,12.678669725336404
ECPC 2015,EEU,1.079936637913283
ECPC 2015,FSU,3.169344268700759
ECPC 2015,MEA,8.025128376783591
ECPC 2015,RCPA,1.680957382967289
ECPC 2015,PAO,1.4703598341437858
ECPC 2015,LAM,7.5260184256921105
ECPC 2015,SAS,23.7311711472734
ECPC 2015,PAS,7.333365816226572
ECPC 2015,AFR,23.24953185888553
ECPC 2025,NAM,4.468148240126702
ECPC 2025,WEU,5.450211852454272
ECPC 2025,CHN,12.077565590434707
ECPC 2025,EEU,1.030665063885157
ECPC 2025,FSU,3.106817079085113
ECPC 2025,MEA,8.157037007192569
ECPC 2025,RCPA,1.6566807936672878
ECPC 2025,PAO,1.4133701465353945
ECPC 2025,LAM,7.446191496155835
ECPC 2025,SAS,23.702357356955503
ECPC 2025,PAS,7.246053095394387
ECPC 2025,AFR,24.24490227811307
CAPC 1990,NAM,1.1652700963075142
CAPC 1990,WEU,1.9179597503904997
CAPC 1990,CHN,10.079589445622965
CAPC 1990,EEU,0.5574451947521437
CAPC 1990,FSU,2.2229783048393243
CAPC 1990,MEA,4.031352725627688
CAPC 1990,RCPA,1.915939265368728
CAPC 1990,PAO,0.4592152175907326
CAPC 1990,LAM,4.958701707076747
CAPC 1990,SAS,27.637260290860983
CAPC 1990,PAS,4.289090538463388
CAPC 1990,AFR,40.76519746309929
CAPC 2015,NAM,1.243845903974385
CAPC 2015,WEU,2.063869652917257
CAPC 2015,CHN,6.184561276083289
CAPC 2015,EEU,0.4988893248262863
CAPC 2015,FSU,2.1719093163195575
CAPC 2015,MEA,4.552479627290281
CAPC 2015,RCPA,1.423995251653543
CAPC 2015,PAO,0.4830693030006099
CAPC 2015,LAM,5.246927408014467
CAPC 2015,SAS,24.368454550257955
CAPC 2015,PAS,4.3228392741151245
CAPC 2015,AFR,47.439159111547255
CAPC 2025,NAM,1.286437394263975
CAPC 2025,WEU,2.088932751613674
CAPC 2025,CHN,5.6533682106216006
CAPC 2025,EEU,0.47741065559987056
CAPC 2025,FSU,2.1491323196821877
CAPC 2025,MEA,4.672136151222314
CAPC 2025,RCPA,1.2913542777534637
CAPC 2025,PAO,0.4803336538590244
CAPC 2025,LAM,5.185700835361933
CAPC 2025,SAS,22.89072998252953
CAPC 2025,PAS,4.310782397123185
CAPC 2025,AFR,49.51368137036925
