ssp,region,year,driver,value
SSP1,China,2020,"GDP
(tn US$)",24.54866823412
SSP1,China,2020,"GDP/cap
(000 US$)",17.14891334383014
SSP1,China,2020,"Population
(bn)",1.4314999290000001
SSP1,China,2020,"Urban share
(%)",61.07822761156421
SSP1,China,2025,"GDP
(tn US$)",31.41083949137999
SSP1,China,2025,"GDP/cap
(000 US$)",21.905819319028158
SSP1,China,2025,"Population
(bn)",1.4339038880000001
SSP1,China,2025,"Urban share
(%)",62.974294957012475
SSP1,China,2030,"GDP
(tn US$)",37.77260908005937
SSP1,China,2030,"GDP/cap
(000 US$)",26.498414698244883
SSP1,China,2030,"Population
(bn)",1.42546675
SSP1,China,2030,"Urban share
(%)",67.27909519546073
SSP1,China,2035,"GDP
(tn US$)",44.65579136342854
SSP1,China,2035,"GDP/cap
(000 US$)",31.6671486671089
SSP1,China,2035,"Population
(bn)",1.410161421
SSP1,China,2035,"Urban share
(%)",71.58269615606723
SSP1,China,2040,"GDP
(tn US$)",50.29498670416142
SSP1,China,2040,"GDP/cap
(000 US$)",36.1840883215285
SSP1,China,2040,"Population
(bn)",1.389975236
SSP1,China,2040,"Urban share
(%)",75.8848610460424
SSP1,China,2045,"GDP
(tn US$)",56.58058135860049
SSP1,China,2045,"GDP/cap
(000 US$)",41.4740139107504
SSP1,China,2045,"Population
(bn)",1.364241751
SSP1,China,2045,"Urban share
(%)",78.47895878511638
SSP1,China,2050,"GDP
(tn US$)",62.070276826048676
SSP1,China,2050,"GDP/cap
(000 US$)",46.651141037288205
SSP1,China,2050,"Population
(bn)",1.330520014
SSP1,China,2050,"Urban share
(%)",80.73569306453665
SSP1,China,2055,"GDP
(tn US$)",67.20415867376832
SSP1,China,2055,"GDP/cap
(000 US$)",52.17540642807216
SSP1,China,2055,"Population
(bn)",1.2880428400000001
SSP1,China,2055,"Urban share
(%)",82.70320646054753
SSP1,China,2060,"GDP
(tn US$)",71.52441148168352
SSP1,China,2060,"GDP/cap
(000 US$)",57.734669638838966
SSP1,China,2060,"Population
(bn)",1.238846813
SSP1,China,2060,"Urban share
(%)",84.42366789749008
SSP1,China,2070,"GDP
(tn US$)",79.00318867815281
SSP1,China,2070,"GDP/cap
(000 US$)",69.82500963367515
