scenario_set,grp,metric,scenario_label,year,gt,pct
SSP1 2C,Higher-resp.,Gross CO₂,Source,2030,23.557219942387988,-20.926808293410282
SSP1 2C,Higher-resp.,Gross CO₂,Unlimited (U),2030,23.55575665181194,-20.93172003836683
SSP1 2C,Higher-resp.,Gross CO₂,Lowest-f. (L),2030,23.168457591821564,-22.231744951887944
SSP1 2C,Higher-resp.,Net CO₂,Source,2030,22.68515909389847,-22.638046261054612
SSP1 2C,Higher-resp.,Net CO₂,Unlimited (U),2030,22.68313394859008,-22.6449525030172
SSP1 2C,Higher-resp.,Net CO₂,Lowest-f. (L),2030,22.298940182583742,-23.955147429556977
SSP1 2C,Lower-resp.,Gross CO₂,Source,2030,10.328828512181131,-19.678679597844795
SSP1 2C,Lower-resp.,Gross CO₂,Unlimited (U),2030,10.325330844575836,-19.705878934154207
SSP1 2C,Lower-resp.,Gross CO₂,Lowest-f. (L),2030,10.740560662746685,-16.47687699782654
SSP1 2C,Lower-resp.,Net CO₂,Source,2030,9.206225366107116,-25.688726352989978
SSP1 2C,Lower-resp.,Net CO₂,Unlimited (U),2030,9.202562702704546,-25.718290823938883
SSP1 2C,Lower-resp.,Net CO₂,Lowest-f. (L),2030,9.618870709763401,-22.35791488225437
SSP2 2C,Higher-resp.,Gross CO₂,Source,2030,25.523622434991836,-14.537269276084185
SSP2 2C,Higher-resp.,Gross CO₂,Unlimited (U),2030,25.524026676194072,-14.535915723816972
SSP2 2C,Higher-resp.,Gross CO₂,Lowest-f. (L),2030,24.780279655463048,-17.02626173647027
SSP2 2C,Higher-resp.,Net CO₂,Source,2030,24.654252255449993,-16.13050259889026
SSP2 2C,Higher-resp.,Net CO₂,Unlimited (U),2030,24.654276534286126,-16.130420006493516
SSP2 2C,Higher-resp.,Net CO₂,Lowest-f. (L),2030,23.910790278607486,-18.659631517039987
SSP2 2C,Lower-resp.,Gross CO₂,Source,2030,12.347572642152427,-3.7043618516955368
SSP2 2C,Lower-resp.,Gross CO₂,Unlimited (U),2030,12.34813973085057,-3.699939268435093
SSP2 2C,Lower-resp.,Gross CO₂,Lowest-f. (L),2030,12.861438045322965,0.3031462112023098
SSP2 2C,Lower-resp.,Net CO₂,Source,2030,11.424021762327973,-7.506109619457446
SSP2 2C,Lower-resp.,Net CO₂,Unlimited (U),2030,11.424571086973101,-7.5016620462151185
SSP2 2C,Lower-resp.,Net CO₂,Lowest-f. (L),2030,11.933998834981223,-3.377111580419434
SSP1 2C,Higher-resp.,Gross CO₂,Source,2035,17.878763912930363,-39.98736141949476
SSP1 2C,Higher-resp.,Gross CO₂,Unlimited (U),2035,17.875327786919264,-39.99889526990105
SSP1 2C,Higher-resp.,Gross CO₂,Lowest-f. (L),2035,17.379049828358358,-41.664723506552626
SSP1 2C,Higher-resp.,Net CO₂,Source,2035,16.680861860225125,-43.114171771289655
SSP1 2C,Higher-resp.,Net CO₂,Unlimited (U),2035,16.676988426453978,-43.127381130015074
SSP1 2C,Higher-resp.,Net CO₂,Lowest-f. (L),2035,16.171574039274557,-44.850968091787294
SSP1 2C,Lower-resp.,Gross CO₂,Source,2035,8.665191866755194,-32.61581877799813
SSP1 2C,Lower-resp.,Gross CO₂,Unlimited (U),2035,8.661473818755331,-32.64473188506689
SSP1 2C,Lower-resp.,Gross CO₂,Lowest-f. (L),2035,8.935946180278794,-30.510319210341706
SSP1 2C,Lower-resp.,Net CO₂,Source,2035,7.128810470865369,-42.457308548144546
SSP1 2C,Lower-resp.,Net CO₂,Unlimited (U),2035,7.125683446300714,-42.4825494225403
SSP1 2C,Lower-resp.,Net CO₂,Lowest-f. (L),2035,7.405108842383711,-40.22706943519474
SSP2 2C,Higher-resp.,Gross CO₂,Source,2035,20.69488083278814,-30.705720456381403
SSP2 2C,Higher-resp.,Gross CO₂,Unlimited (U),2035,20.69924345376979,-30.69111275313886
SSP2 2C,Higher-resp.,Gross CO₂,Lowest-f. (L),2035,19.484057779265214,-34.76001348790941
SSP2 2C,Higher-resp.,Net CO₂,Source,2035,19.47132778213078,-33.761914257262625
SSP2 2C,Higher-resp.,Net CO₂,Unlimited (U),2035,19.476215152909205,-33.745288268100495
SSP2 2C,Higher-resp.,Net CO₂,Lowest-f. (L),2035,18.24691907594485,-37.92714067489435
SSP2 2C,Lower-resp.,Gross CO₂,Source,2035,10.873299291563555,-15.201851861622451
SSP2 2C,Lower-resp.,Gross CO₂,Unlimited (U),2035,10.8803173404691,-15.147119849307067
SSP2 2C,Lower-resp.,Gross CO₂,Lowest-f. (L),2035,11.674500138750975,-8.95348636495058
SSP2 2C,Lower-resp.,Net CO₂,Source,2035,9.541839091289864,-22.745085986365176
SSP2 2C,Lower-resp.,Net CO₂,Unlimited (U),2035,9.549018095795326,-22.6869616174184
SSP2 2C,Lower-resp.,Net CO₂,Lowest-f. (L),2035,10.3531126605641,-16.176659372146997
SSP1 2C,Higher-resp.,Gross CO₂,Source,2040,13.21462252997798,-55.64322177240558
SSP1 2C,Higher-resp.,Gross CO₂,Unlimited (U),2040,13.22399990611078,-55.61174526276365
SSP1 2C,Higher-resp.,Gross CO₂,Lowest-f. (L),2040,12.744276740066507,-57.22200496095729
SSP1 2C,Higher-resp.,Net CO₂,Source,2040,11.649708544429512,-60.27163795696031
SSP1 2C,Higher-resp.,Net CO₂,Unlimited (U),2040,11.660249594342458,-60.23569039263643
SSP1 2C,Higher-resp.,Net CO₂,Lowest-f. (L),2040,11.174044129448475,-61.89377022038018
SSP1 2C,Lower-resp.,Gross CO₂,Source,2040,8.009522640441451,-37.71457881089737
SSP1 2C,Lower-resp.,Gross CO₂,Unlimited (U),2040,7.99141926097818,-37.85535831367606
SSP1 2C,Lower-resp.,Gross CO₂,Lowest-f. (L),2040,8.48191684758848,-34.04104251163258
SSP1 2C,Lower-resp.,Net CO₂,Source,2040,6.021199813690471,-51.39777604339908
SSP1 2C,Lower-resp.,Net CO₂,Unlimited (U),2040,6.003124035677123,-51.54368101888205
SSP1 2C,Lower-resp.,Net CO₂,Lowest-f. (L),2040,6.503169458848371,-47.507389183792384
