dr,state,grp,year,v,pct
5% (default),Src./FS.U.,Higher,2030,24654.252255449992,-16.130502598890274
5% (default),Src./FS.U.,Lower,2030,11424.021762327973,-7.506109619457435
5% (default),Src./FS.U.,World,2030,36853.15215151342,-13.072554935602431
5% (default),FS-Lf.Trnsf.,Higher,2030,23555.720829062528,-19.867516305727563
5% (default),FS-Lf.Trnsf.,Lower,2030,11955.779860981453,-3.200762841494198
5% (default),FS-Lf.Trnsf.,World,2030,36294.54257066471,-14.390176382257403
1%,Src./FS.U.,Higher,2030,22331.920835693167,-24.030671987753184
1%,Src./FS.U.,Lower,2030,10561.648635028168,-14.488260666002672
1%,Src./FS.U.,World,2030,33628.19225995913,-20.67943541777739
1%,FS-Lf.Trnsf.,Higher,2030,21669.474215065813,-26.28420069150035
1%,FS-Lf.Trnsf.,Lower,2030,11096.289696194759,-10.159572159162632
1%,FS-Lf.Trnsf.,World,2030,33500.20172688166,-20.98133333921197
5% (default),Src./FS.U.,Higher,2035,19471.32778213078,-33.76191425726262
5% (default),Src./FS.U.,Lower,2035,9541.839091289865,-22.745085986365165
5% (default),Src./FS.U.,World,2035,29763.04827547979,-29.79635138728468
5% (default),FS-Lf.Trnsf.,Higher,2035,17278.29123630864,-41.22224487182059
5% (default),FS-Lf.Trnsf.,Lower,2035,10457.407839963445,-15.332239859362717
5% (default),FS-Lf.Trnsf.,World,2035,28501.66531197957,-32.771640931420166
1%,Src./FS.U.,Higher,2035,14791.174310066024,-49.68298602188529
1%,Src./FS.U.,Lower,2035,8320.534385328228,-32.63330450910692
1%,Src./FS.U.,World,2035,23808.61660992499,-43.84137878057831
1%,FS-Lf.Trnsf.,Higher,2035,13622.560530902198,-53.65840775842632
1%,FS-Lf.Trnsf.,Lower,2035,8934.663366982515,-27.661046937262935
1%,FS-Lf.Trnsf.,World,2035,23257.63302811344,-45.141012387017085
5% (default),Src./FS.U.,Higher,2040,14941.802122431816,-49.170576284739234
5% (default),Src./FS.U.,Lower,2040,8470.326897322984,-31.420518638026284
5% (default),Src./FS.U.,World,2040,24113.37291839387,-43.122534239043766
5% (default),FS-Lf.Trnsf.,Higher,2040,12021.411503485355,-59.105239518008126
5% (default),FS-Lf.Trnsf.,Lower,2040,10094.364299212175,-18.271599584003972
5% (default),FS-Lf.Trnsf.,World,2040,22838.38124575964,-46.129923352594126
1%,Src./FS.U.,Higher,2040,10386.658733421613,-64.66638539173908
1%,Src./FS.U.,Lower,2040,6895.7839432761375,-44.16870893571242
1%,Src./FS.U.,World,2040,17897.7366995891,-57.783678385657645
1%,FS-Lf.Trnsf.,Higher,2040,8907.818806109437,-69.69714277003061
1%,FS-Lf.Trnsf.,Lower,2040,7703.050591490543,-37.6327241116958
1%,FS-Lf.Trnsf.,World,2040,17230.16412049503,-59.3583165185674
5% (default),Src./FS.U.,Higher,2045,10880.314001584733,-62.987055643618305
5% (default),Src./FS.U.,Lower,2045,7145.524970296317,-42.146696052919964
5% (default),Src./FS.U.,World,2045,18700.13414996902,-55.891021822632844
5% (default),FS-Lf.Trnsf.,Higher,2045,8061.338544651442,-72.5767220552936
5% (default),FS-Lf.Trnsf.,Lower,2045,9180.372012578435,-25.671681982948503
5% (default),FS-Lf.Trnsf.,World,2045,17930.46093429049,-57.70649003274323
1%,Src./FS.U.,Higher,2045,7429.197099910156,-74.72715779788008
