principle,start,state,region,gv,base,pct,grp,lab,off,xplot
CAPC,1990,Source,AFR,146934.88435504911,150644.6409100833,-2.4625878044002074,Lower resp.,CAPC 1990,FALSE,-2.4625878044002074
CAPC,1990,Source,CHN,663695.8158752584,668013.5292433327,-0.6463511858756811,Higher resp.,CAPC 1990,FALSE,-0.6463511858756811
CAPC,1990,Source,EEU,61087.129660093655,61523.73116335529,-0.7096473100800532,Higher resp.,CAPC 1990,FALSE,-0.7096473100800532
CAPC,1990,Source,FSU,100552.23060991422,102006.69131736126,-1.4258483327549076,Higher resp.,CAPC 1990,FALSE,-1.4258483327549076
CAPC,1990,Source,LAM,216030.4113234008,218841.43592540748,-1.2845029050918984,Lower resp.,CAPC 1990,FALSE,-1.2845029050918984
CAPC,1990,Source,MEA,285956.61591067887,287608.20685387275,-0.5742502834882643,Higher resp.,CAPC 1990,FALSE,-0.5742502834882643
CAPC,1990,Source,NAM,541147.1677710314,544172.754455517,-0.5559974584749242,Higher resp.,CAPC 1990,FALSE,-0.5559974584749242
CAPC,1990,Source,PAO,126262.21776051966,126929.60605925642,-0.5257940361251792,Higher resp.,CAPC 1990,FALSE,-0.5257940361251792
CAPC,1990,Source,PAS,284659.6128886806,286407.08052768884,-0.6101342312447847,Lower resp.,CAPC 1990,FALSE,-0.6101342312447847
CAPC,1990,Source,RCPA,48721.37725225753,48985.13654832773,-0.5384476081024756,Higher resp.,CAPC 1990,FALSE,-0.5384476081024756
CAPC,1990,Source,SAS,371541.54724644223,375858.3958231356,-1.1485305702003608,Lower resp.,CAPC 1990,FALSE,-1.1485305702003608
CAPC,1990,Source,WEU,415399.0394489928,416746.26670925645,-0.323272784397498,Higher resp.,CAPC 1990,FALSE,-0.323272784397498
CAPC,1990,Unlimited (U),AFR,181913.2052782999,150644.6409100833,20.756506291438637,Lower resp.,CAPC 1990,TRUE,4
CAPC,1990,Unlimited (U),CHN,650603.6717644157,668013.5292433327,-2.6062133050864045,Higher resp.,CAPC 1990,FALSE,-2.6062133050864045
CAPC,1990,Unlimited (U),EEU,59607.96321167991,61523.73116335529,-3.1138682837500693,Higher resp.,CAPC 1990,FALSE,-3.1138682837500693
CAPC,1990,Unlimited (U),FSU,97471.36497611133,102006.69131736126,-4.446106704058954,Higher resp.,CAPC 1990,TRUE,-4
CAPC,1990,Unlimited (U),LAM,213717.17177125972,218841.43592540748,-2.3415420084770324,Lower resp.,CAPC 1990,FALSE,-2.3415420084770324
CAPC,1990,Unlimited (U),MEA,280088.5845507818,287608.20685387275,-2.6145367635185326,Higher resp.,CAPC 1990,FALSE,-2.6145367635185326
CAPC,1990,Unlimited (U),NAM,528538.5602780223,544172.754455517,-2.8730203872734936,Higher resp.,CAPC 1990,FALSE,-2.8730203872734936
CAPC,1990,Unlimited (U),PAO,123752.12332870645,126929.60605925642,-2.503342466111943,Higher resp.,CAPC 1990,FALSE,-2.503342466111943
CAPC,1990,Unlimited (U),PAS,282158.8160934597,286407.08052768884,-1.483295883049375,Lower resp.,CAPC 1990,FALSE,-1.483295883049375
CAPC,1990,Unlimited (U),RCPA,48782.20448967534,48985.13654832773,-0.4142727222005013,Higher resp.,CAPC 1990,FALSE,-0.4142727222005013
CAPC,1990,Unlimited (U),SAS,385549.74334401195,375858.3958231356,2.5784571074040072,Lower resp.,CAPC 1990,FALSE,2.5784571074040072
CAPC,1990,Unlimited (U),WEU,408719.41231646034,416746.26670925645,-1.9260770963057143,Higher resp.,CAPC 1990,FALSE,-1.9260770963057143
CAPC,1990,Lowest-f. (L),AFR,160510.01565848646,150644.6409100833,6.548772454701251,Lower resp.,CAPC 1990,TRUE,4
CAPC,1990,Lowest-f. (L),CHN,656648.4423432112,668013.5292433327,-1.7013258568273175,Higher resp.,CAPC 1990,FALSE,-1.7013258568273175
CAPC,1990,Lowest-f. (L),EEU,60279.59638620806,61523.73116335529,-2.0222030647716287,Higher resp.,CAPC 1990,FALSE,-2.0222030647716287
CAPC,1990,Lowest-f. (L),FSU,99041.98929730158,102006.69131736126,-2.9063799460330992,Higher resp.,CAPC 1990,FALSE,-2.9063799460330992
CAPC,1990,Lowest-f. (L),LAM,214210.1259897281,218841.43592540748,-2.116285664136274,Lower resp.,CAPC 1990,FALSE,-2.116285664136274
CAPC,1990,Lowest-f. (L),MEA,281692.4131419974,287608.20685387275,-2.056893221715684,Higher resp.,CAPC 1990,FALSE,-2.056893221715684
CAPC,1990,Lowest-f. (L),NAM,535470.3138005442,544172.754455517,-1.5992055066557314,Higher resp.,CAPC 1990,FALSE,-1.5992055066557314
CAPC,1990,Lowest-f. (L),PAO,125130.45036405942,126929.60605925642,-1.4174436926536047,Higher resp.,CAPC 1990,FALSE,-1.4174436926536047
CAPC,1990,Lowest-f. (L),PAS,282586.9541770131,286407.08052768884,-1.3338100244021207,Lower resp.,CAPC 1990,FALSE,-1.3338100244021207
CAPC,1990,Lowest-f. (L),RCPA,48809.40332731647,48985.13654832773,-0.3587480476611321,Higher resp.,CAPC 1990,FALSE,-0.3587480476611321
CAPC,1990,Lowest-f. (L),SAS,377431.49263052596,375858.3958231356,0.4185344334121442,Lower resp.,CAPC 1990,FALSE,0.4185344334121442
CAPC,1990,Lowest-f. (L),WEU,411994.33564264345,416746.26670925645,-1.140245623346686,Higher resp.,CAPC 1990,FALSE,-1.140245623346686
CAPC,2015,Source,AFR,146934.88435504911,150644.6409100833,-2.4625878044002074,Lower resp.,CAPC 2015,FALSE,-2.4625878044002074
CAPC,2015,Source,CHN,663695.8158752584,668013.5292433327,-0.6463511858756811,Higher resp.,CAPC 2015,FALSE,-0.6463511858756811
CAPC,2015,Source,EEU,61087.129660093655,61523.73116335529,-0.7096473100800532,Higher resp.,CAPC 2015,FALSE,-0.7096473100800532
CAPC,2015,Source,FSU,100552.23060991422,102006.69131736126,-1.4258483327549076,Higher resp.,CAPC 2015,FALSE,-1.4258483327549076
CAPC,2015,Source,LAM,216030.4113234008,218841.43592540748,-1.2845029050918984,Lower resp.,CAPC 2015,FALSE,-1.2845029050918984
CAPC,2015,Source,MEA,285956.61591067887,287608.20685387275,-0.5742502834882643,Higher resp.,CAPC 2015,FALSE,-0.5742502834882643
CAPC,2015,Source,NAM,541147.1677710314,544172.754455517,-0.5559974584749242,Higher resp.,CAPC 2015,FALSE,-0.5559974584749242
CAPC,2015,Source,PAO,126262.21776051966,126929.60605925642,-0.5257940361251792,Higher resp.,CAPC 2015,FALSE,-0.5257940361251792
CAPC,2015,Source,PAS,284659.6128886806,286407.08052768884,-0.6101342312447847,Lower resp.,CAPC 2015,FALSE,-0.6101342312447847
CAPC,2015,Source,RCPA,48721.37725225753,48985.13654832773,-0.5384476081024756,Higher resp.,CAPC 2015,FALSE,-0.5384476081024756
CAPC,2015,Source,SAS,371541.54724644223,375858.3958231356,-1.1485305702003608,Lower resp.,CAPC 2015,FALSE,-1.1485305702003608
CAPC,2015,Source,WEU,415399.0394489928,416746.26670925645,-0.323272784397498,Higher resp.,CAPC 2015,FALSE,-0.323272784397498
CAPC,2015,Unlimited (U),AFR,172415.1555706389,150644.6409100833,14.45156928851518,Lower resp.,CAPC 2015,TRUE,4
CAPC,2015,Unlimited (U),CHN,651916.8611607433,668013.5292433327,-2.4096320475458484,Higher resp.,CAPC 2015,FALSE,-2.4096320475458484
CAPC,2015,Unlimited (U),EEU,60334.960943169164,61523.73116335529,-1.9322141191823214,Higher resp.,CAPC 2015,FALSE,-1.9322141191823214
CAPC,2015,Unlimited (U),FSU,99730.46377183279,102006.69131736126,-2.2314492472329226,Higher resp.,CAPC 2015,FALSE,-2.2314492472329226
CAPC,2015,Unlimited (U),LAM,214836.76496557985,218841.43592540748,-1.8299418219832169,Lower resp.,CAPC 2015,FALSE,-1.8299418219832169
CAPC,2015,Unlimited (U),MEA,281092.1865885101,287608.20685387275,-2.265589127876756,Higher resp.,CAPC 2015,FALSE,-2.265589127876756
CAPC,2015,Unlimited (U),NAM,535612.177263236,544172.754455517,-1.5731359429867968,Higher resp.,CAPC 2015,FALSE,-1.5731359429867968
CAPC,2015,Unlimited (U),PAO,125368.20966630202,126929.60605925642,-1.2301278176389103,Higher resp.,CAPC 2015,FALSE,-1.2301278176389103
CAPC,2015,Unlimited (U),PAS,283109.0577696902,286407.08052768884,-1.1515157907137796,Lower resp.,CAPC 2015,FALSE,-1.1515157907137796
CAPC,2015,Unlimited (U),RCPA,48213.89712069406,48985.13654832773,-1.5744355981794227,Higher resp.,CAPC 2015,FALSE,-1.5744355981794227
CAPC,2015,Unlimited (U),SAS,376818.88985566073,375858.3958231356,0.255546781234356,Lower resp.,CAPC 2015,FALSE,0.255546781234356
CAPC,2015,Unlimited (U),WEU,412292.23851310165,416746.26670925645,-1.0687625905626075,Higher resp.,CAPC 2015,FALSE,-1.0687625905626075
CAPC,2015,Lowest-f. (L),AFR,153687.61353137426,150644.6409100833,2.0199673900827526,Lower resp.,CAPC 2015,FALSE,2.0199673900827526
CAPC,2015,Lowest-f. (L),CHN,656490.5985382214,668013.5292433327,-1.7249546903882935,Higher resp.,CAPC 2015,FALSE,-1.7249546903882935
CAPC,2015,Lowest-f. (L),EEU,60415.78745521223,61523.73116335529,-1.8008395901758494,Higher resp.,CAPC 2015,FALSE,-1.8008395901758494
CAPC,2015,Lowest-f. (L),FSU,100641.26572134954,102006.69131736126,-1.3385647337228392,Higher resp.,CAPC 2015,FALSE,-1.3385647337228392
CAPC,2015,Lowest-f. (L),LAM,213338.31722755908,218841.43592540748,-2.5146602948283308,Lower resp.,CAPC 2015,FALSE,-2.5146602948283308
CAPC,2015,Lowest-f. (L),MEA,280669.8364581956,287608.20685387275,-2.4124382511805003,Higher resp.,CAPC 2015,FALSE,-2.4124382511805003
CAPC,2015,Lowest-f. (L),NAM,537048.6511385961,544172.754455517,-1.3091620737332008,Higher resp.,CAPC 2015,FALSE,-1.3091620737332008
CAPC,2015,Lowest-f. (L),PAO,125373.99688449553,126929.60605925642,-1.2255684257261934,Higher resp.,CAPC 2015,FALSE,-1.2255684257261934
CAPC,2015,Lowest-f. (L),PAS,282022.77830163424,286407.08052768884,-1.5307939377674498,Lower resp.,CAPC 2015,FALSE,-1.5307939377674498
CAPC,2015,Lowest-f. (L),RCPA,48008.577062583856,48985.13654832773,-1.993583267406887,Higher resp.,CAPC 2015,FALSE,-1.993583267406887
CAPC,2015,Lowest-f. (L),SAS,374220.51534998504,375858.3958231356,-0.4357706230197672,Lower resp.,CAPC 2015,FALSE,-0.4357706230197672
CAPC,2015,Lowest-f. (L),WEU,412952.6842103274,416746.26670925645,-0.9102858986318534,Higher resp.,CAPC 2015,FALSE,-0.9102858986318534
CAPC,2025,Source,AFR,146934.88435504911,150644.6409100833,-2.4625878044002074,Lower resp.,CAPC 2025,FALSE,-2.4625878044002074
CAPC,2025,Source,CHN,663695.8158752584,668013.5292433327,-0.6463511858756811,Higher resp.,CAPC 2025,FALSE,-0.6463511858756811
CAPC,2025,Source,EEU,61087.129660093655,61523.73116335529,-0.7096473100800532,Higher resp.,CAPC 2025,FALSE,-0.7096473100800532
CAPC,2025,Source,FSU,100552.23060991422,102006.69131736126,-1.4258483327549076,Higher resp.,CAPC 2025,FALSE,-1.4258483327549076
CAPC,2025,Source,LAM,216030.4113234008,218841.43592540748,-1.2845029050918984,Lower resp.,CAPC 2025,FALSE,-1.2845029050918984
CAPC,2025,Source,MEA,285956.61591067887,287608.20685387275,-0.5742502834882643,Higher resp.,CAPC 2025,FALSE,-0.5742502834882643
CAPC,2025,Source,NAM,541147.1677710314,544172.754455517,-0.5559974584749242,Higher resp.,CAPC 2025,FALSE,-0.5559974584749242
CAPC,2025,Source,PAO,126262.21776051966,126929.60605925642,-0.5257940361251792,Higher resp.,CAPC 2025,FALSE,-0.5257940361251792
CAPC,2025,Source,PAS,284659.6128886806,286407.08052768884,-0.6101342312447847,Lower resp.,CAPC 2025,FALSE,-0.6101342312447847
