principle,start,state,basis,gv,gb,pct,grp,lab,ypos
CAPC,1990,Source,MER,2242821.594288746,2255985.92235028,-0.5835288213066299,Higher resp.,CAPC 1990,6.18
CAPC,1990,Source,PPP,2365442.4515426764,2378587.921954891,-0.5526585875123287,Higher resp.,CAPC 1990,6.18
CAPC,1990,Unlimited (U),MER,2197563.884915853,2255985.92235028,-2.5896454785304313,Higher resp.,CAPC 1990,6.18
CAPC,1990,Unlimited (U),PPP,2324643.271469956,2378587.921954891,-2.267927537469368,Higher resp.,CAPC 1990,6.18
CAPC,1990,Lowest-f. (L),MER,2219066.944303282,2255985.92235028,-1.636489735207914,Higher resp.,CAPC 1990,6.18
CAPC,1990,Lowest-f. (L),PPP,2340436.3884598427,2378587.921954891,-1.6039572530786632,Higher resp.,CAPC 1990,6.18
CAPC,2015,Source,MER,2242821.594288746,2255985.92235028,-0.5835288213066299,Higher resp.,CAPC 2015,3.18
CAPC,2015,Source,PPP,2365442.4515426764,2378587.921954891,-0.5526585875123287,Higher resp.,CAPC 2015,3.18
CAPC,2015,Unlimited (U),MER,2214560.995027589,2255985.92235028,-1.8362227756959788,Higher resp.,CAPC 2015,3.18
CAPC,2015,Unlimited (U),PPP,2340114.9309193618,2378587.921954891,-1.6174718907976962,Higher resp.,CAPC 2015,3.18
CAPC,2015,Lowest-f. (L),MER,2221601.397468982,2255985.92235028,-1.5241462520065943,Higher resp.,CAPC 2015,3.18
CAPC,2015,Lowest-f. (L),PPP,2342912.065219904,2378587.921954891,-1.4998754683689144,Higher resp.,CAPC 2015,3.18
CAPC,2025,Source,MER,2242821.594288746,2255985.92235028,-0.5835288213066299,Higher resp.,CAPC 2025,1.18
CAPC,2025,Source,PPP,2365442.4515426764,2378587.921954891,-0.5526585875123287,Higher resp.,CAPC 2025,1.18
CAPC,2025,Unlimited (U),MER,2223387.795518512,2255985.92235028,-1.4449614471799292,Higher resp.,CAPC 2025,1.18
CAPC,2025,Unlimited (U),PPP,2347285.9807485533,2378587.921954891,-1.3159884029265456,Higher resp.,CAPC 2025,1.18
CAPC,2025,Lowest-f. (L),MER,2228865.7259103237,2255985.92235028,-1.2021438685088321,Higher resp.,CAPC 2025,1.18
CAPC,2025,Lowest-f. (L),PPP,2350648.8152235495,2378587.921954891,-1.174608954895363,Higher resp.,CAPC 2025,1.18
ECPC,1990,Source,MER,2242821.594288746,2255985.92235028,-0.5835288213066299,Higher resp.,ECPC 1990,7.18
ECPC,1990,Source,PPP,2365442.4515426764,2378587.921954891,-0.5526585875123287,Higher resp.,ECPC 1990,7.18
ECPC,1990,Unlimited (U),MER,2215415.4467539922,2255985.92235028,-1.7983479060907235,Higher resp.,ECPC 1990,7.18
ECPC,1990,Unlimited (U),PPP,2339620.699785613,2378587.921954891,-1.638250232821,Higher resp.,ECPC 1990,7.18
ECPC,1990,Lowest-f. (L),MER,2220346.25977625,2255985.92235028,-1.5797821352050232,Higher resp.,ECPC 1990,7.18
ECPC,1990,Lowest-f. (L),PPP,2342164.1378967813,2378587.921954891,-1.5313196422932402,Higher resp.,ECPC 1990,7.18
ECPC,2015,Source,MER,2242821.594288746,2255985.92235028,-0.5835288213066299,Higher resp.,ECPC 2015,5.18
ECPC,2015,Source,PPP,2365442.4515426764,2378587.921954891,-0.5526585875123287,Higher resp.,ECPC 2015,5.18
ECPC,2015,Unlimited (U),MER,2226590.6578303343,2255985.92235028,-1.3029897141078706,Higher resp.,ECPC 2015,5.18
ECPC,2015,Unlimited (U),PPP,2349317.8230892085,2378587.921954891,-1.2305661941487744,Higher resp.,ECPC 2015,5.18
ECPC,2015,Lowest-f. (L),MER,2230940.156286361,2255985.92235028,-1.1101915936525975,Higher resp.,ECPC 2015,5.18
ECPC,2015,Lowest-f. (L),PPP,2353068.1337749567,2378587.921954891,-1.0728965679334876,Higher resp.,ECPC 2015,5.18
ECPC,2015*,Source,MER,2242821.594288746,2255985.92235028,-0.5835288213066299,Higher resp.,ECPC 2015*,4.18
ECPC,2015*,Source,PPP,2365442.4515426764,2378587.921954891,-0.5526585875123287,Higher resp.,ECPC 2015*,4.18
ECPC,2015*,Unlimited (U),MER,2226500.846812082,2255985.92235028,-1.3069707238013493,Higher resp.,ECPC 2015*,4.18
ECPC,2015*,Unlimited (U),PPP,2351029.2448370084,2378587.921954891,-1.158615027996657,Higher resp.,ECPC 2015*,4.18
ECPC,2015*,Lowest-f. (L),MER,2228719.1435779333,2255985.92235028,-1.2086413528653681,Higher resp.,ECPC 2015*,4.18
ECPC,2015*,Lowest-f. (L),PPP,2350924.820303726,2378587.921954891,-1.1630052181728765,Higher resp.,ECPC 2015*,4.18
ECPC,2025,Source,MER,2242821.594288746,2255985.92235028,-0.5835288213066299,Higher resp.,ECPC 2025,2.18
ECPC,2025,Source,PPP,2365442.4515426764,2378587.921954891,-0.5526585875123287,Higher resp.,ECPC 2025,2.18
ECPC,2025,Unlimited (U),MER,2232056.45377783,2255985.92235028,-1.0607100130979636,Higher resp.,ECPC 2025,2.18
ECPC,2025,Unlimited (U),PPP,2354645.3685736805,2378587.921954891,-1.0065868560172029,Higher resp.,ECPC 2025,2.18
ECPC,2025,Lowest-f. (L),MER,2232412.6330426564,2255985.92235028,-1.044921826598326,Higher resp.,ECPC 2025,2.18
ECPC,2025,Lowest-f. (L),PPP,2354589.552719,2378587.921954891,-1.0089334522546398,Higher resp.,ECPC 2025,2.18
CAPC,1990,Source,MER,1019166.4558135727,1031751.5531863153,-1.2197798330302068,Lower resp.,CAPC 1990,5.82
CAPC,1990,Source,PPP,1383799.4379614543,1400749.5201898501,-1.2100723208599444,Lower resp.,CAPC 1990,5.82
CAPC,1990,Unlimited (U),MER,1063338.9364870314,1031751.5531863153,3.061529997523731,Lower resp.,CAPC 1990,5.82
CAPC,1990,Unlimited (U),PPP,1435411.9135210277,1400749.5201898501,2.474560428653909,Lower resp.,CAPC 1990,5.82
CAPC,1990,Lowest-f. (L),MER,1034738.5884557534,1031751.5531863153,0.28951109985861617,Lower resp.,CAPC 1990,5.82
CAPC,1990,Lowest-f. (L),PPP,1413591.876404418,1400749.5201898501,0.9168203186553441,Lower resp.,CAPC 1990,5.82
CAPC,2015,Source,MER,1019166.4558135727,1031751.5531863153,-1.2197798330302068,Lower resp.,CAPC 2015,2.82
CAPC,2015,Source,PPP,1383799.4379614543,1400749.5201898501,-1.2100723208599444,Lower resp.,CAPC 2015,2.82
CAPC,2015,Unlimited (U),MER,1047179.8681615697,1031751.5531863153,1.495351756690623,Lower resp.,CAPC 2015,2.82
CAPC,2015,Unlimited (U),PPP,1416670.6892927554,1400749.5201898501,1.136617851616144,Lower resp.,CAPC 2015,2.82
CAPC,2015,Lowest-f. (L),MER,1023269.2244105526,1031751.5531863153,-0.8221290047557549,Lower resp.,CAPC 2015,2.82
CAPC,2015,Lowest-f. (L),PPP,1393014.6668410453,1400749.5201898501,-0.5521938960047996,Lower resp.,CAPC 2015,2.82
CAPC,2025,Source,MER,1019166.4558135727,1031751.5531863153,-1.2197798330302068,Lower resp.,CAPC 2025,0.8200000000000001
CAPC,2025,Source,PPP,1383799.4379614543,1400749.5201898501,-1.2100723208599444,Lower resp.,CAPC 2025,0.8200000000000001
CAPC,2025,Unlimited (U),MER,1038514.247317133,1031751.5531863153,0.6554576157343999,Lower resp.,CAPC 2025,0.8200000000000001
CAPC,2025,Unlimited (U),PPP,1408722.835443459,1400749.5201898501,0.5692177751043027,Lower resp.,CAPC 2025,0.8200000000000001
CAPC,2025,Lowest-f. (L),MER,1022407.7279677696,1031751.5531863153,-0.9056274439025163,Lower resp.,CAPC 2025,0.8200000000000001
CAPC,2025,Lowest-f. (L),PPP,1390577.192175456,1400749.5201898501,-0.726206068092412,Lower resp.,CAPC 2025,0.8200000000000001
ECPC,1990,Source,MER,1019166.4558135727,1031751.5531863153,-1.2197798330302068,Lower resp.,ECPC 1990,6.82
ECPC,1990,Source,PPP,1383799.4379614543,1400749.5201898501,-1.2100723208599444,Lower resp.,ECPC 1990,6.82
ECPC,1990,Unlimited (U),MER,1046311.9935651704,1031751.5531863153,1.4112351305785484,Lower resp.,ECPC 1990,6.82
ECPC,1990,Unlimited (U),PPP,1416295.2427206913,1400749.5201898501,1.1098145890304603,Lower resp.,ECPC 1990,6.82
ECPC,1990,Lowest-f. (L),MER,1031235.2542925159,1031751.5531863153,-0.05004100960206543,Lower resp.,ECPC 1990,6.82
ECPC,1990,Lowest-f. (L),PPP,1403894.8167937608,1400749.5201898501,0.22454382875564563,Lower resp.,ECPC 1990,6.82
ECPC,2015,Source,MER,1019166.4558135727,1031751.5531863153,-1.2197798330302068,Lower resp.,ECPC 2015,4.82
ECPC,2015,Source,PPP,1383799.4379614543,1400749.5201898501,-1.2100723208599444,Lower resp.,ECPC 2015,4.82
ECPC,2015,Unlimited (U),MER,1035419.7131911241,1031751.5531863153,0.35552745168936983,Lower resp.,ECPC 2015,4.82
ECPC,2015,Unlimited (U),PPP,1406648.44960066,1400749.5201898501,0.42112664154333423,Lower resp.,ECPC 2015,4.82
ECPC,2015,Lowest-f. (L),MER,1029243.4368861743,1031751.5531863153,-0.24309304816604138,Lower resp.,ECPC 2015,4.82
ECPC,2015,Lowest-f. (L),PPP,1400996.2463871161,1400749.5201898501,0.017613869839668405,Lower resp.,ECPC 2015,4.82
ECPC,2015*,Source,MER,1019166.4558135727,1031751.5531863153,-1.2197798330302068,Lower resp.,ECPC 2015*,3.82
ECPC,2015*,Source,PPP,1383799.4379614543,1400749.5201898501,-1.2100723208599444,Lower resp.,ECPC 2015*,3.82
