lab,grp,metric,year,v,pct
CAPC 1990,Higher resp.,Gross CO₂,2030,24105.050991596847,-19.287182404139802
CAPC 1990,Higher resp.,Net CO₂,2030,23204.662775428813,-21.061755020080085
CAPC 1990,Lower resp.,Gross CO₂,2030,12700.498382671049,-0.9519820611783247
CAPC 1990,Lower resp.,Net CO₂,2030,11782.893378679706,-4.600527624420936
CAPC 1990,World,Gross CO₂,2030,37478.07637548709,-13.517446928963206
CAPC 1990,World,Net CO₂,2030,35767.44530217173,-15.633468100212555
CAPC 2015,Higher resp.,Gross CO₂,2030,23154.522439650875,-22.469911105257978
CAPC 2015,Higher resp.,Net CO₂,2030,22249.640881862488,-24.310574144284423
CAPC 2015,Lower resp.,Gross CO₂,2030,12543.301702539582,-2.1779197468071776
CAPC 2015,Lower resp.,Net CO₂,2030,11605.368507351546,-6.037846839147354
CAPC 2015,World,Gross CO₂,2030,36375.83487362642,-16.060924833931466
CAPC 2015,World,Net CO₂,2030,34635.43928735184,-18.3035895123855
CAPC 2025,Higher resp.,Gross CO₂,2030,24020.3762309924,-19.570705492724947
CAPC 2025,Higher resp.,Net CO₂,2030,23128.0945444212,-21.322226884526142
CAPC 2025,Lower resp.,Gross CO₂,2030,12469.148405876093,-2.7562228052264826
CAPC 2025,Lower resp.,Net CO₂,2030,11543.147957623743,-6.541611697589622
CAPC 2025,World,Gross CO₂,2030,37167.20417851891,-14.23480021580893
CAPC 2025,World,Net CO₂,2030,35452.75216134508,-16.375751164599695
ECPC 1990,Higher resp.,Gross CO₂,2030,23392.94618504795,-21.671578329298935
ECPC 1990,Higher resp.,Net CO₂,2030,22495.169532458152,-23.47532818712995
ECPC 1990,Lower resp.,Gross CO₂,2030,13291.716959832285,3.6587841050006675
ECPC 1990,Lower resp.,Net CO₂,2030,12374.592701534526,0.19012959288660092
ECPC 1990,World,Gross CO₂,2030,37357.55596314996,-13.795553864112808
ECPC 1990,World,Net CO₂,2030,35649.61661896895,-15.911396738284278
ECPC 2015,Higher resp.,Gross CO₂,2030,24780.279655463048,-17.026261736470282
ECPC 2015,Higher resp.,Net CO₂,2030,23910.790278607485,-18.659631517039987
ECPC 2015,Lower resp.,Gross CO₂,2030,12861.438045322964,0.3031462112023098
ECPC 2015,Lower resp.,Net CO₂,2030,11933.998834981223,-3.377111580419434
ECPC 2015,World,Gross CO₂,2030,38314.99072127218,-11.58622482993864
ECPC 2015,World,Net CO₂,2030,36624.09893924103,-13.612834650205219
ECPC 2015*,Higher resp.,Gross CO₂,2030,24061.59386951286,-19.432693266955592
ECPC 2015*,Higher resp.,Net CO₂,2030,23174.983801356044,-21.162717751095926
ECPC 2015*,Lower resp.,Gross CO₂,2030,13012.397489975174,1.4804412536037814
ECPC 2015*,Lower resp.,Net CO₂,2030,12095.878869231823,-2.066459827973688
ECPC 2015*,World,Gross CO₂,2030,37751.35786136828,-12.886836105470955
ECPC 2015*,World,Net CO₂,2030,36052.90501239481,-14.960139447713638
ECPC 2025,Higher resp.,Gross CO₂,2030,24439.435148533437,-18.167537916551822
ECPC 2025,Higher resp.,Net CO₂,2030,23555.720829062528,-19.867516305727563
ECPC 2025,Lower resp.,Gross CO₂,2030,12872.250415713246,0.38746919004217784
ECPC 2025,Lower resp.,Net CO₂,2030,11955.779860981453,-3.200762841494198
ECPC 2025,World,Gross CO₂,2030,37990.76225106962,-12.334398391476453
ECPC 2025,World,Net CO₂,2030,36294.54257066471,-14.390176382257403
Source,Higher resp.,Gross CO₂,2030,25523.622434991838,-14.537269276084185
Source,Higher resp.,Net CO₂,2030,24654.252255449992,-16.130502598890274
Source,Lower resp.,Gross CO₂,2030,12347.572642152427,-3.7043618516955368
