principle,start,state,coop,lab
CAPC,1990,Unlimited (U),44.81534686777593,CAPC 1990
CAPC,1990,Lowest-f. (L),13.236943545837374,CAPC 1990
CAPC,2015,Unlimited (U),28.10069174596024,CAPC 2015
CAPC,2015,Lowest-f. (L),3.2206536028073707,CAPC 2015
CAPC,2025,Unlimited (U),19.540563547391294,CAPC 2025
CAPC,2025,Lowest-f. (L),1.980729867606799,CAPC 2025
ECPC,1990,Unlimited (U),24.78759835732855,ECPC 1990
ECPC,1990,Lowest-f. (L),6.293642163045893,ECPC 1990
ECPC,2015,Unlimited (U),14.765505558733434,ECPC 2015
ECPC,2015,Lowest-f. (L),6.312435848591838,ECPC 2015
ECPC,2025,Unlimited (U),10.141284548968395,ECPC 2025
ECPC,2025,Lowest-f. (L),2.047009845280682,ECPC 2025
ECPC,2015*,Unlimited (U),14.782007297735273,ECPC 2015*
ECPC,2015*,Lowest-f. (L),3.5459905031814363,ECPC 2015*
