lab,state,inv,src,pct
ECPC 1990,Unlimited (U),24274.962191018774,24253.290190910633,0.08935694884095849
ECPC 1990,Lowest-f. (L),24909.738149312154,24253.290190910633,2.706634659603985
ECPC 2015,Unlimited (U),24267.10937817117,24253.290190910633,0.05697860847645921
ECPC 2015,Lowest-f. (L),24355.96867140671,24253.290190910633,0.42335897392823735
ECPC 2015*,Unlimited (U),24271.30060725577,24253.290190910633,0.0742596827208449
ECPC 2015*,Lowest-f. (L),24556.43214975798,24253.290190910633,1.2499003494418883
ECPC 2025,Unlimited (U),24262.820758069258,24253.290190910633,0.039295976272103975
ECPC 2025,Lowest-f. (L),24450.451968245685,24253.290190910633,0.8129279606316745
CAPC 1990,Unlimited (U),24282.454908052772,24253.290190910633,0.12025055946046093
CAPC 1990,Lowest-f. (L),24814.830781020613,24253.290190910633,2.315317161876981
CAPC 2015,Unlimited (U),24266.338381563986,24253.290190910633,0.05379967233576944
CAPC 2015,Lowest-f. (L),25836.684233281394,24253.290190910633,6.528574184809642
CAPC 2025,Unlimited (U),24266.463714299596,24253.290190910633,0.054316438245150325
CAPC 2025,Lowest-f. (L),25285.616339725802,24253.290190910633,4.256437541831139
