principle,start,state,gv,pct,grp,lab,ypos,col_key
CAPC,1990,Source,2242821.594288746,-0.5835288213066299,Higher resp.,CAPC 1990,6.24,CAPC
CAPC,1990,Unlimited (U),2197563.884915853,-2.5896454785304313,Higher resp.,CAPC 1990,6.24,CAPC
CAPC,1990,Lowest-f. (L),2219066.944303282,-1.636489735207914,Higher resp.,CAPC 1990,6.24,CAPC
CAPC,2015,Source,2242821.594288746,-0.5835288213066299,Higher resp.,CAPC 2015,3.24,CAPC
CAPC,2015,Unlimited (U),2214560.995027589,-1.8362227756959788,Higher resp.,CAPC 2015,3.24,CAPC
CAPC,2015,Lowest-f. (L),2221601.397468982,-1.5241462520065943,Higher resp.,CAPC 2015,3.24,CAPC
CAPC,2025,Source,2242821.594288746,-0.5835288213066299,Higher resp.,CAPC 2025,1.24,CAPC
CAPC,2025,Unlimited (U),2223387.795518512,-1.4449614471799292,Higher resp.,CAPC 2025,1.24,CAPC
CAPC,2025,Lowest-f. (L),2228865.7259103237,-1.2021438685088321,Higher resp.,CAPC 2025,1.24,CAPC
ECPC,1990,Source,2242821.594288746,-0.5835288213066299,Higher resp.,ECPC 1990,7.24,ECPC
ECPC,1990,Unlimited (U),2215415.4467539922,-1.7983479060907235,Higher resp.,ECPC 1990,7.24,ECPC
ECPC,1990,Lowest-f. (L),2220346.25977625,-1.5797821352050232,Higher resp.,ECPC 1990,7.24,ECPC
ECPC,2015,Source,2242821.594288746,-0.5835288213066299,Higher resp.,ECPC 2015,5.24,ECPC
ECPC,2015,Unlimited (U),2226590.6578303343,-1.3029897141078706,Higher resp.,ECPC 2015,5.24,ECPC
ECPC,2015,Lowest-f. (L),2230940.156286361,-1.1101915936525975,Higher resp.,ECPC 2015,5.24,ECPC
ECPC,2015*,Source,2242821.594288746,-0.5835288213066299,Higher resp.,ECPC 2015*,4.24,ECPC
ECPC,2015*,Unlimited (U),2226500.846812082,-1.3069707238013493,Higher resp.,ECPC 2015*,4.24,ECPC
ECPC,2015*,Lowest-f. (L),2228719.1435779333,-1.2086413528653681,Higher resp.,ECPC 2015*,4.24,ECPC
ECPC,2025,Source,2242821.594288746,-0.5835288213066299,Higher resp.,ECPC 2025,2.24,ECPC
ECPC,2025,Unlimited (U),2232056.45377783,-1.0607100130979636,Higher resp.,ECPC 2025,2.24,ECPC
ECPC,2025,Lowest-f. (L),2232412.6330426564,-1.044921826598326,Higher resp.,ECPC 2025,2.24,ECPC
CAPC,1990,Source,1019166.4558135727,-1.2197798330302068,Lower resp.,CAPC 1990,5.76,CAPC
CAPC,1990,Unlimited (U),1063338.9364870314,3.061529997523731,Lower resp.,CAPC 1990,5.76,CAPC
CAPC,1990,Lowest-f. (L),1034738.5884557534,0.28951109985861617,Lower resp.,CAPC 1990,5.76,CAPC
CAPC,2015,Source,1019166.4558135727,-1.2197798330302068,Lower resp.,CAPC 2015,2.76,CAPC
CAPC,2015,Unlimited (U),1047179.8681615697,1.495351756690623,Lower resp.,CAPC 2015,2.76,CAPC
CAPC,2015,Lowest-f. (L),1023269.2244105526,-0.8221290047557549,Lower resp.,CAPC 2015,2.76,CAPC
CAPC,2025,Source,1019166.4558135727,-1.2197798330302068,Lower resp.,CAPC 2025,0.76,CAPC
CAPC,2025,Unlimited (U),1038514.247317133,0.6554576157343999,Lower resp.,CAPC 2025,0.76,CAPC
CAPC,2025,Lowest-f. (L),1022407.7279677696,-0.9056274439025163,Lower resp.,CAPC 2025,0.76,CAPC
ECPC,1990,Source,1019166.4558135727,-1.2197798330302068,Lower resp.,ECPC 1990,6.76,ECPC
ECPC,1990,Unlimited (U),1046311.9935651704,1.4112351305785484,Lower resp.,ECPC 1990,6.76,ECPC
ECPC,1990,Lowest-f. (L),1031235.2542925159,-0.05004100960206543,Lower resp.,ECPC 1990,6.76,ECPC
ECPC,2015,Source,1019166.4558135727,-1.2197798330302068,Lower resp.,ECPC 2015,4.76,ECPC
ECPC,2015,Unlimited (U),1035419.7131911241,0.35552745168936983,Lower resp.,ECPC 2015,4.76,ECPC
ECPC,2015,Lowest-f. (L),1029243.4368861743,-0.24309304816604138,Lower resp.,ECPC 2015,4.76,ECPC
ECPC,2015*,Source,1019166.4558135727,-1.2197798330302068,Lower resp.,ECPC 2015*,3.76,ECPC
ECPC,2015*,Unlimited (U),1035363.6849415727,0.3500970504092946,Lower resp.,ECPC 2015*,3.76,ECPC
ECPC,2015*,Lowest-f. (L),1027325.3204001051,-0.42900180499277213,Lower resp.,ECPC 2015*,3.76,ECPC
ECPC,2025,Source,1019166.4558135727,-1.2197798330302068,Lower resp.,ECPC 2025,1.76,ECPC
ECPC,2025,Unlimited (U),1030005.48584761,-0.16923331332169927,Lower resp.,ECPC 2025,1.76,ECPC
ECPC,2025,Lowest-f. (L),1024989.7235352672,-0.6553738281435969,Lower resp.,ECPC 2025,1.76,ECPC
CAPC,1990,Source,3261988.0501023186,-0.7831959098277558,World,CAPC 1990,6,World
CAPC,1990,Unlimited (U),3260902.8214028846,-0.8162042843561071,World,CAPC 1990,6,World
CAPC,1990,Lowest-f. (L),3253805.5327590355,-1.0320757977192816,World,CAPC 1990,6,World
CAPC,2015,Source,3261988.0501023186,-0.7831959098277558,World,CAPC 2015,3,World
CAPC,2015,Unlimited (U),3261740.8631891585,-0.7907143602818875,World,CAPC 2015,3,World
CAPC,2015,Lowest-f. (L),3244870.621879534,-1.303840527901801,World,CAPC 2015,3,World
CAPC,2025,Source,3261988.0501023186,-0.7831959098277558,World,CAPC 2025,1,World
CAPC,2025,Unlimited (U),3261902.042835645,-0.7858119114797637,World,CAPC 2025,1,World
CAPC,2025,Lowest-f. (L),3251273.453878093,-1.1090916452370085,World,CAPC 2025,1,World
ECPC,1990,Source,3261988.0501023186,-0.7831959098277558,World,ECPC 1990,7,World
ECPC,1990,Unlimited (U),3261727.440319163,-0.7911226310180877,World,ECPC 1990,7,World
ECPC,1990,Lowest-f. (L),3251581.5140687656,-1.0997216698978967,World,ECPC 1990,7,World
ECPC,2015,Source,3261988.0501023186,-0.7831959098277558,World,ECPC 2015,5,World
ECPC,2015,Unlimited (U),3262010.371021458,-0.7825169955499158,World,ECPC 2015,5,World
ECPC,2015,Lowest-f. (L),3260183.593172535,-0.8380803689188605,World,ECPC 2015,5,World
ECPC,2015*,Source,3261988.0501023186,-0.7831959098277558,World,ECPC 2015*,4,World
ECPC,2015*,Unlimited (U),3261864.531753655,-0.7869528505683914,World,ECPC 2015*,4,World
ECPC,2015*,Lowest-f. (L),3256044.463978038,-0.9639763452641467,World,ECPC 2015*,4,World
ECPC,2025,Source,3261988.0501023186,-0.7831959098277558,World,ECPC 2025,2,World
ECPC,2025,Unlimited (U),3262061.9396254397,-0.7809484821158152,World,ECPC 2025,2,World
