principle,start,cat,Source,Lowest-f. (L),tot,delta,lab,grp
CAPC,1990,Batteries,1335.5898443891704,1660.420756496307,35335.446838700984,0.9192777824203626,CAPC 1990,World
CAPC,1990,CO₂ storage,0,0,35335.446838700984,0,CAPC 1990,World
CAPC,1990,Coal,245.0849964201551,348.0801551795886,35335.446838700984,0.29147829721691393,CAPC 1990,World
CAPC,1990,Gas,4133.203860146515,3385.52222161889,35335.446838700984,-2.1159535407621615,CAPC 1990,World
CAPC,1990,Oil,5752.066914087371,5565.54682420302,35335.446838700984,-0.5278554725394479,CAPC 1990,World
CAPC,1990,Other clean,3567.891643512499,3989.456805333289,35335.446838700984,1.1930375855869269,CAPC 1990,World
CAPC,1990,Other energy,2115.7194358427387,2204.0373912287805,35335.446838700984,0.24994152695788754,CAPC 1990,World
CAPC,1990,Solar,3115.623745089393,3310.7479779937785,35335.446838700984,0.5522053641916207,CAPC 1990,World
CAPC,1990,Transmission,9556.452589597739,9488.671501970934,35335.446838700984,-0.19182179281957748,CAPC 1990,World
CAPC,1990,Wind,5513.8138096154025,5832.218583888846,35335.446838700984,0.9010916876950665,CAPC 1990,World
CAPC,2015,Batteries,1335.5898443891704,1872.3858009564208,35335.446838700984,1.5191429699972754,CAPC 2015,World
CAPC,2015,CO₂ storage,0,0,35335.446838700984,0,CAPC 2015,World
CAPC,2015,Coal,245.0849964201551,367.8974666734112,35335.446838700984,0.34756167316595615,CAPC 2015,World
CAPC,2015,Gas,4133.203860146515,3070.6148568999665,35335.446838700984,-3.007147491574247,CAPC 2015,World
CAPC,2015,Oil,5752.066914087371,5445.307361919908,35335.446838700984,-0.8681354832379988,CAPC 2015,World
CAPC,2015,Other clean,3567.891643512499,4167.106295218797,35335.446838700984,1.6957890880553712,CAPC 2015,World
CAPC,2015,Other energy,2115.7194358427387,2405.24382073556,35335.446838700984,0.8193596255183647,CAPC 2015,World
CAPC,2015,Solar,3115.623745089393,3498.809257755805,35335.446838700984,1.0844224339813064,CAPC 2015,World
CAPC,2015,Transmission,9556.452589597739,9524.254423308834,35335.446838700984,-0.09112143518626703,CAPC 2015,World
CAPC,2015,Wind,5513.8138096154025,6295.0626500089575,35335.446838700984,2.21094937318833,CAPC 2015,World
CAPC,2025,Batteries,1335.5898443891704,1750.9641067909417,35335.446838700984,1.175517220138376,CAPC 2025,World
CAPC,2025,CO₂ storage,0,0,35335.446838700984,0,CAPC 2025,World
CAPC,2025,Coal,245.0849964201551,257.2112353299335,35335.446838700984,0.03431749134270803,CAPC 2025,World
CAPC,2025,Gas,4133.203860146515,3524.1756184346377,35335.446838700984,-1.7235617381378112,CAPC 2025,World
CAPC,2025,Oil,5752.066914087371,5566.643155502564,35335.446838700984,-0.5247528336948107,CAPC 2025,World
CAPC,2025,Other clean,3567.891643512499,3953.1582109413466,35335.446838700984,1.0903118593278587,CAPC 2025,World
CAPC,2025,Other energy,2115.7194358427387,2265.7719631761256,35335.446838700984,0.4246515631126606,CAPC 2025,World
CAPC,2025,Solar,3115.623745089393,3383.5703365630193,35335.446838700984,0.7582940515702177,CAPC 2025,World
CAPC,2025,Transmission,9556.452589597739,9458.4170487916,35335.446838700984,-0.27744248220109025,CAPC 2025,World
CAPC,2025,Wind,5513.8138096154025,5955.6498793168275,35335.446838700984,1.2504046481096316,CAPC 2025,World
ECPC,1990,Batteries,1335.5898443891704,1705.9891427980638,35335.446838700984,1.0482371996021154,ECPC 1990,World
ECPC,1990,CO₂ storage,0,0,35335.446838700984,0,ECPC 1990,World
ECPC,1990,Coal,245.0849964201551,320.2687373039836,35335.446838700984,0.2127714451356077,ECPC 1990,World
ECPC,1990,Gas,4133.203860146515,3470.309244000279,35335.446838700984,-1.8760046227014275,ECPC 1990,World
ECPC,1990,Oil,5752.066914087371,5528.727489044812,35335.446838700984,-0.6320549052685179,ECPC 1990,World
ECPC,1990,Other clean,3567.891643512499,3953.6074443679117,35335.446838700984,1.0915831986393887,ECPC 1990,World
ECPC,1990,Other energy,2115.7194358427387,2156.4786406371677,35335.446838700984,0.11534934022622205,ECPC 1990,World
ECPC,1990,Solar,3115.623745089393,3340.30125376343,35335.446838700984,0.635841707902105,ECPC 1990,World
ECPC,1990,Transmission,9556.452589597739,9406.39370292868,35335.446838700984,-0.4246695601559691,ECPC 1990,World
ECPC,1990,Wind,5513.8138096154025,5834.510738037294,35335.446838700984,0.907578528398994,ECPC 1990,World
ECPC,2015,Batteries,1335.5898443891704,1478.7127688941052,35335.446838700984,0.40504065268584677,ECPC 2015,World
ECPC,2015,CO₂ storage,0,0,35335.446838700984,0,ECPC 2015,World
ECPC,2015,Coal,245.0849964201551,253.0521227683131,35335.446838700984,0.02254712211374113,ECPC 2015,World
ECPC,2015,Gas,4133.203860146515,3985.1989543647555,35335.446838700984,-0.4188567544012418,ECPC 2015,World
ECPC,2015,Oil,5752.066914087371,5696.41201496479,35335.446838700984,-0.1575044441255661,ECPC 2015,World
ECPC,2015,Other clean,3567.891643512499,3671.443038056232,35335.446838700984,0.2930524552764934,ECPC 2015,World
ECPC,2015,Other energy,2115.7194358427387,2101.677743403613,35335.446838700984,-0.039738261987242104,ECPC 2015,World
ECPC,2015,Solar,3115.623745089393,3168.646845951099,35335.446838700984,0.15005640399496048,ECPC 2015,World
ECPC,2015,Transmission,9556.452589597739,9530.132629512022,35335.446838700984,-0.07448599760422484,ECPC 2015,World
ECPC,2015,Wind,5513.8138096154025,5606.067545578492,35335.446838700984,0.2610798623382602,ECPC 2015,World
ECPC,2015*,Batteries,1335.5898443891704,1657.156744473662,35335.446838700984,0.9100405650800968,ECPC 2015*,World
ECPC,2015*,CO₂ storage,0,0,35335.446838700984,0,ECPC 2015*,World
ECPC,2015*,Coal,245.0849964201551,270.00997385824786,35335.446838700984,0.07053816965120074,ECPC 2015*,World
ECPC,2015*,Gas,4133.203860146515,3754.4972787374963,35335.446838700984,-1.071746971639373,ECPC 2015*,World
ECPC,2015*,Oil,5752.066914087371,5599.4851729800885,35335.446838700984,-0.4318092871551512,ECPC 2015*,World
