grp,component,step,gt,x,fillc
Higher resp.,BECCS,FS-Lf.Trnsf-ALL,7.982002102236208,4,white
Higher resp.,BECCS,FS-Lf.Trnsf-CDR,13.443259235191093,5,#8C510A
Higher resp.,DACCS,FS-Lf.Trnsf-ALL,18.241180459910833,4,white
Higher resp.,DACCS,FS-Lf.Trnsf-CDR,33.550622273501745,5,#DFC27D
Higher resp.,Gross CO₂,FS-Lf.Trnsf-ALL,-87.180176456391,4,white
Higher resp.,Gross CO₂,FS-Lf.Trnsf-CDR,-239.61159221365824,5,#01665E
Higher resp.,Net CO₂,FS-Lf.Trnsf-ALL,-122.78640805022962,4,white
Higher resp.,Net CO₂,FS-Lf.Trnsf-CDR,-307.1546146110409,5,#542788
Lower resp.,BECCS,FS-Lf.Trnsf-ALL,-15.746050226430611,7,white
Lower resp.,BECCS,FS-Lf.Trnsf-CDR,-9.530435567577129,8,#8C510A
Lower resp.,DACCS,FS-Lf.Trnsf-ALL,0,7,white
Lower resp.,DACCS,FS-Lf.Trnsf-CDR,37.582212824448405,8,#DFC27D
Lower resp.,Gross CO₂,FS-Lf.Trnsf-ALL,100.83944117047452,7,white
Lower resp.,Gross CO₂,FS-Lf.Trnsf-CDR,329.59648466213787,8,#01665E
Lower resp.,Net CO₂,FS-Lf.Trnsf-ALL,123.42012845721388,7,white
Lower resp.,Net CO₂,FS-Lf.Trnsf-CDR,298.5405838936426,8,#542788
World,BECCS,FS-Lf.Trnsf-ALL,-7.7640481241944315,1,white
World,BECCS,FS-Lf.Trnsf-CDR,3.912823667613935,2,#8C510A
World,DACCS,FS-Lf.Trnsf-ALL,18.24118045991084,1,white
World,DACCS,FS-Lf.Trnsf-CDR,71.13283509795015,2,#DFC27D
World,Gross CO₂,FS-Lf.Trnsf-ALL,13.295429630299395,1,white
World,Gross CO₂,FS-Lf.Trnsf-CDR,90.97790695977255,2,#01665E
World,Net CO₂,FS-Lf.Trnsf-ALL,0.3541283750898856,1,white
World,Net CO₂,FS-Lf.Trnsf-CDR,-8.476528659917449,2,#542788
