scope,tier,comp,gt,share,lab_col,ypos,debt_gt
FS-Lf.Trnsf-ALL,Unlimited,Dom. reductions (residual),-0.002197599544870421,-4.430557442734184e-6,white,1.0000022152787214,496.00971734930016
FS-Lf.Trnsf-ALL,Unlimited,Dom. Geo.CDR,-0.15801660988736987,-3.1857563342068833e-4,grey20,1.0001637183741532,496.00971734930016
FS-Lf.Trnsf-ALL,Unlimited,Trf. Geo.CDR (added),0,0,white,1.0003230061908635,496.00971734930016
FS-Lf.Trnsf-ALL,Unlimited,Trf. Geo.CDR (in Source),0,0,grey20,1.0003230061908635,496.00971734930016
FS-Lf.Trnsf-ALL,Unlimited,Trf. ALL,496.1699315587324,1.0003230061908635,grey20,0.5001615030954317,496.00971734930016
FS-Lf.Trnsf-ALL,Lowest-f.,Dom. reductions (residual),132.15697606055966,0.2664402963047033,white,0.8667798518476484,496.00971734930016
FS-Lf.Trnsf-ALL,Lowest-f.,Dom. Geo.CDR,35.485955176385445,0.07154286284152678,grey20,0.6977882722745332,496.00971734930016
FS-Lf.Trnsf-ALL,Lowest-f.,Trf. Geo.CDR (added),0,0,white,0.6620168408537699,496.00971734930016
FS-Lf.Trnsf-ALL,Lowest-f.,Trf. Geo.CDR (in Source),0,0,grey20,0.6620168408537699,496.00971734930016
FS-Lf.Trnsf-ALL,Lowest-f.,Trf. ALL,328.36678611235504,0.6620168408537699,grey20,0.33100842042688494,496.00971734930016
FS-Lf.Trnsf-CDR,Unlimited,Dom. reductions (residual),318.9849496959697,0.6431022186432973,white,0.6784488906783513,496.00971734930016
FS-Lf.Trnsf-CDR,Unlimited,Dom. Geo.CDR,51.68310565920805,0.10419776841350016,grey20,0.3047988971499526,496.00971734930016
FS-Lf.Trnsf-CDR,Unlimited,Trf. Geo.CDR (added),28.564591012345222,0.05758877298814986,white,0.22390562644912756,496.00971734930016
FS-Lf.Trnsf-CDR,Unlimited,Trf. Geo.CDR (in Source),96.77707098177713,0.1951112399550526,grey20,0.0975556199775263,496.00971734930016
FS-Lf.Trnsf-CDR,Unlimited,Trf. ALL,0,0,grey20,0,496.00971734930016
FS-Lf.Trnsf-CDR,Lowest-f.,Dom. reductions (residual),319.9198577827042,0.6449870770523838,white,0.677506461473808,496.00971734930016
FS-Lf.Trnsf-CDR,Lowest-f.,Dom. Geo.CDR,51.206984322336126,0.1032378651692324,grey20,0.3033939903629999,496.00971734930016
FS-Lf.Trnsf-CDR,Lowest-f.,Trf. Geo.CDR (added),28.086387166900966,0.056624671220144585,white,0.22346272216831142,496.00971734930016
FS-Lf.Trnsf-CDR,Lowest-f.,Trf. Geo.CDR (in Source),96.79648807735886,0.19515038655823913,grey20,0.09757519327911957,496.00971734930016
FS-Lf.Trnsf-CDR,Lowest-f.,Trf. ALL,0,0,grey20,0,496.00971734930016
