variant,region,year,v,panel,gt,scope,tier
L. SSP2-2C-ECPC2015,World,2030,33.23070952570428,World,0.033230709525704276,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2035,86.695676154639,World,0.08669567615463901,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2040,186.4295519924188,World,0.18642955199241878,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2045,365.0968945404115,World,0.3650968945404115,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2050,677.4694307290915,World,0.6774694307290915,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2055,1139.243396632088,World,1.139243396632088,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2060,1842.67367874857,World,1.84267367874857,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2070,4204.325052801427,World,4.204325052801427,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2080,5047.368213355547,World,5.047368213355547,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2090,5326.243473524368,World,5.326243473524368,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2100,5491.5533254520615,World,5.491553325452061,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2030,51.140774313555454,World,0.05114077431355545,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2035,145.05294940451947,World,0.14505294940451946,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2040,350.49160628867594,World,0.3504916062886759,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2045,909.1833796389735,World,0.9091833796389736,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2050,1747.951608994434,World,1.747951608994434,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2055,3101.649013815896,World,3.101649013815896,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2060,5080.296776183923,World,5.080296776183923,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2070,5417.6397438900185,World,5.417639743890018,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2080,5470.227549854995,World,5.470227549854995,FS-Lf.Trnsf-CDR,Lowest-f.
