variant,region,year,v,panel,gt,scope,tier
L. SSP2-2C-ECPC2015,World,2030,45.7870214880961,World,0.0457870214880961,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2035,153.06606302687786,World,0.15306606302687786,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2040,356.3429562041378,World,0.3563429562041378,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2045,701.8103025572365,World,0.7018103025572364,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2050,1269.4044373495713,World,1.2694044373495712,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2055,2024.3234221581527,World,2.0243234221581528,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2060,2991.2020205775134,World,2.9912020205775134,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2070,5912.751784924788,World,5.9127517849247875,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2080,5938.680000000002,World,5.938680000000002,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2090,5938.679999999998,World,5.938679999999998,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,World,2100,5938.679999999998,World,5.938679999999998,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2030,281.9896986073351,World,0.2819896986073351,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2035,556.0489640456226,World,0.5560489640456227,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2040,782.7945978457898,World,0.7827945978457898,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2045,1363.6500042945356,World,1.3636500042945356,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2050,2336.196323660698,World,2.336196323660698,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2055,3849.5011304666823,World,3.8495011304666824,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2060,5891.019281079334,World,5.891019281079334,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2070,5938.6799999999985,World,5.938679999999999,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2080,5938.680000000002,World,5.938680000000002,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2090,5938.6799999999985,World,5.938679999999999,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,World,2100,5938.679999999999,World,5.93868,FS-Lf.Trnsf-CDR,Lowest-f.
Source scenario,World,2030,67.71080699390012,World,0.06771080699390013,Source,Source
Source scenario,World,2035,225.41436357305406,World,0.22541436357305406,Source,Source
Source scenario,World,2040,523.2006027820223,World,0.5232006027820223,Source,Source
Source scenario,World,2045,991.5278713435132,World,0.9915278713435132,Source,Source
Source scenario,World,2050,1747.3757859142547,World,1.7473757859142547,Source,Source
Source scenario,World,2055,2587.239715144162,World,2.587239715144162,Source,Source
Source scenario,World,2060,3591.7997127274134,World,3.5917997127274135,Source,Source
Source scenario,World,2070,5938.679999999998,World,5.938679999999998,Source,Source
Source scenario,World,2080,5938.679999999997,World,5.938679999999997,Source,Source
Source scenario,World,2090,5938.6799999999985,World,5.938679999999999,Source,Source
Source scenario,World,2100,5938.6799999999985,World,5.938679999999999,Source,Source
U. SSP2-2C-ECPC2015,World,2030,66.9497874630457,World,0.0669497874630457,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,World,2035,223.69365650790812,World,0.22369365650790812,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,World,2040,525.4354604342462,World,0.5254354604342463,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,World,2045,995.6981234619662,World,0.9956981234619663,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,World,2050,1753.1388770996057,World,1.7531388770996057,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,World,2055,2587.6742850000837,World,2.587674285000084,FS-Lf.Trnsf-ALL,Unlimited
