region,lever,scope,delta,contrib,xpos
AFR,CCS,ALL,-7.072833627568043,7.072833627568043,11.81
AFR,CCS,CDR,-17.92091259853681,17.92091259853681,12.19
AFR,Conventional CDR,ALL,0.5000308712987049,-0.5000308712987049,11.81
AFR,Conventional CDR,CDR,-0.06753632343342275,0.06753632343342275,12.19
AFR,Gross emissions,ALL,40.69455109219973,40.69455109219973,11.81
AFR,Gross emissions,CDR,226.3517466764327,226.3517466764327,12.19
AFR,Novel CDR,ALL,-14.07947465435064,14.07947465435064,11.81
AFR,Novel CDR,CDR,18.72340212875855,-18.72340212875855,12.19
CHN,CCS,ALL,-1.3115490479426581,1.3115490479426581,2.81
CHN,CCS,CDR,3.663620474272122,-3.663620474272122,3.19
CHN,Conventional CDR,ALL,0.5249458899110024,-0.5249458899110024,2.81
CHN,Conventional CDR,CDR,1.5094108357996276,-1.5094108357996276,3.19
CHN,Gross emissions,ALL,-25.34534558043407,-25.34534558043407,2.81
CHN,Gross emissions,CDR,-63.964944811175144,-63.964944811175144,3.19
CHN,Novel CDR,ALL,1.223888686326399,-1.223888686326399,2.81
CHN,Novel CDR,CDR,-3.167051906980017,3.167051906980017,3.19
EEU,CCS,ALL,-0.012846361058762643,0.012846361058762643,3.81
EEU,CCS,CDR,0.14748448785103901,-0.14748448785103901,4.19
EEU,Conventional CDR,ALL,-0.0840096613275012,0.0840096613275012,3.81
EEU,Conventional CDR,CDR,-0.20278457204338274,0.20278457204338274,4.19
EEU,Gross emissions,ALL,-1.5581823273077404,-1.5581823273077404,3.81
EEU,Gross emissions,CDR,-4.419799037116007,-4.419799037116007,4.19
EEU,Novel CDR,ALL,0.02524507811474641,-0.02524507811474641,3.81
EEU,Novel CDR,CDR,-0.025316577440853694,0.025316577440853694,4.19
FSU,CCS,ALL,1.0026916602731433,-1.0026916602731433,4.81
FSU,CCS,CDR,-5.670995266586241,5.670995266586241,5.19
FSU,Conventional CDR,ALL,0.05202104307690547,-0.05202104307690547,4.81
FSU,Conventional CDR,CDR,-0.29550586808113977,0.29550586808113977,5.19
FSU,Gross emissions,ALL,5.294080064858548,5.294080064858548,4.81
FSU,Gross emissions,CDR,-16.09093312074961,-16.09093312074961,5.19
FSU,Novel CDR,ALL,5.063283992379379,-5.063283992379379,4.81
FSU,Novel CDR,CDR,17.922359465989565,-17.922359465989565,5.19
LAM,CCS,ALL,-0.41267636659805085,0.41267636659805085,8.81
LAM,CCS,CDR,-0.576054462232487,0.576054462232487,9.19
LAM,Conventional CDR,ALL,-0.35391958147417313,0.35391958147417313,8.81
LAM,Conventional CDR,CDR,1.9131000219562537,-1.9131000219562537,9.19
LAM,Gross emissions,ALL,0.5199338962890181,0.5199338962890181,8.81
LAM,Gross emissions,CDR,-19.696536294888034,-19.696536294888034,9.19
LAM,Novel CDR,ALL,0.4117398600006794,-0.4117398600006794,8.81
LAM,Novel CDR,CDR,2.7693650868226385,-2.7693650868226385,9.19
MEA,CCS,ALL,-12.287167931874546,12.287167931874546,5.81
MEA,CCS,CDR,-12.981022007093841,12.981022007093841,6.19
MEA,Conventional CDR,ALL,0.0017389344848601773,-0.0017389344848601773,5.81
MEA,Conventional CDR,CDR,0.0253007090171109,-0.0253007090171109,6.19
MEA,Gross emissions,ALL,-43.425678872568966,-43.425678872568966,5.81
MEA,Gross emissions,CDR,-88.14843420235401,-88.14843420235401,6.19
MEA,Novel CDR,ALL,11.229172770051527,-11.229172770051527,5.81
MEA,Novel CDR,CDR,22.250232592508045,-22.250232592508045,6.19
NAM,CCS,ALL,-1.0787296650656404,1.0787296650656404,0.81
NAM,CCS,CDR,0.2245810511746349,-0.2245810511746349,1.19
NAM,Conventional CDR,ALL,0.887336003552921,-0.887336003552921,0.81
NAM,Conventional CDR,CDR,2.6119417441334534,-2.6119417441334534,1.19
NAM,Gross emissions,ALL,-7.282544377588266,-7.282544377588266,0.81
NAM,Gross emissions,CDR,-32.085795141481285,-32.085795141481285,1.19
NAM,Novel CDR,ALL,3.728760847259224,-3.728760847259224,0.81
NAM,Novel CDR,CDR,0.2605197519975846,-0.2605197519975846,1.19
PAO,CCS,ALL,-2.0501755652706026,2.0501755652706026,7.81
PAO,CCS,CDR,-1.9029642456641374,1.9029642456641374,8.19
PAO,Conventional CDR,ALL,0,-0,7.81
PAO,Conventional CDR,CDR,0.46422869489715524,-0.46422869489715524,8.19
PAO,Gross emissions,ALL,1.848949894676366,1.848949894676366,7.81
PAO,Gross emissions,CDR,-4.139878839228217,-4.139878839228217,8.19
PAO,Novel CDR,ALL,2.80496997408806,-2.80496997408806,7.81
PAO,Novel CDR,CDR,7.410669601155902,-7.410669601155902,8.19
PAS,CCS,ALL,0.8500278944282078,-0.8500278944282078,9.81
PAS,CCS,CDR,-4.725353316690086,4.725353316690086,10.19
PAS,Conventional CDR,ALL,0.31677561714855074,-0.31677561714855074,9.81
PAS,Conventional CDR,CDR,-0.6155372192219417,0.6155372192219417,10.19
PAS,Gross emissions,ALL,5.240756954406606,5.240756954406606,9.81
PAS,Gross emissions,CDR,-2.649510756113969,-2.649510756113969,10.19
PAS,Novel CDR,ALL,-0.5520986518093558,0.5520986518093558,9.81
PAS,Novel CDR,CDR,5.274161796565872,-5.274161796565872,10.19
RCPA,CCS,ALL,-0.4926127188967979,0.4926127188967979,6.81
RCPA,CCS,CDR,-0.8093725558351168,0.8093725558351168,7.19
RCPA,Conventional CDR,ALL,-0.44052786467007365,0.44052786467007365,6.81
RCPA,Conventional CDR,CDR,-0.9519336704417789,0.9519336704417789,7.19
RCPA,Gross emissions,ALL,-5.6544783907982,-5.6544783907982,6.81
RCPA,Gross emissions,CDR,-8.070616761020684,-8.070616761020684,7.19
RCPA,Novel CDR,ALL,0.41711205457261347,-0.41711205457261347,6.81
