region,scope,xpos,net
NAM,ALL,0.81,-10.81991156333477
NAM,CDR,1.19,-35.182837688786954
WEU,ALL,1.81,-10.660929267035533
WEU,CDR,2.19,-23.24847904487531
CHN,ALL,2.81,-25.782631108728815
CHN,CDR,3.19,-65.97092421426687
EEU,ALL,3.81,-1.486571383036223
EEU,CDR,4.19,-4.33918237548281
FSU,ALL,4.81,-0.8239166308708796
FSU,CDR,5.19,-28.046791452071794
MEA,ALL,5.81,-42.369422645230806
MEA,CDR,6.19,-97.44294549678533
RCPA,ALL,6.81,-5.1384498618039425
RCPA,CDR,7.19,-7.207233452850552
PAO,ALL,7.81,1.0941554858589089
PAO,CDR,8.19,-10.111812889617138
LAM,ALL,8.81,0.8747899843605627
LAM,CDR,9.19,-23.80294694143444
PAS,ALL,9.81,4.626052094639204
PAS,CDR,10.19,-2.5827820167678137
SAS,ALL,10.81,54.9392116598431
SAS,CDR,11.19,126.10081688735276
AFR,ALL,11.81,61.34682850281971
AFR,CDR,12.19,225.6167934696444
