bud,region,lever,Unlimited (U),Lowest-f. (L),delta,contrib,xpos
2 °C,AFR,CCS,17.80172654212513,10.872807428919876,-6.9289191132052554,6.9289191132052554,11.81
2 °C,AFR,Conventional CDR,43.78906641679231,44.24102687373577,0.45196045694346054,-0.45196045694346054,11.81
2 °C,AFR,Gross emissions,139.17487728222474,180.7014147409264,41.526537458701654,41.526537458701654,11.81
2 °C,AFR,Novel CDR,27.00438640735409,12.963157794340958,-14.041228613013132,14.041228613013132,11.81
2 °C,CHN,CCS,4.8290319798755235,3.470707745778772,-1.3583242340967514,1.3583242340967514,2.81
2 °C,CHN,Conventional CDR,54.498612825934934,55.02355871584594,0.5249458899110024,-0.5249458899110024,2.81
2 °C,CHN,Gross emissions,282.78000001189565,257.63084740100555,-25.1491526108901,-25.1491526108901,2.81
2 °C,CHN,Novel CDR,10.32401991434261,11.594260541819862,1.2702406274772517,-1.2702406274772517,2.81
2 °C,EEU,CCS,0.012846361058762643,0,-0.012846361058762643,0.012846361058762643,3.81
2 °C,EEU,Conventional CDR,5.186037701831846,5.103779788796828,-0.08225791303501762,0.08225791303501762,3.81
2 °C,EEU,Gross emissions,21.80189304732564,20.241344092726482,-1.560548954599156,-1.560548954599156,3.81
2 °C,EEU,Novel CDR,1.7285258919953832,1.7549117707587125,0.026385878763329318,-0.026385878763329318,3.81
2 °C,FSU,CCS,8.825763484089629,10.372098192641019,1.5463347085513899,-1.5463347085513899,4.81
2 °C,FSU,Conventional CDR,13.764073396412913,13.816094439489818,0.05202104307690547,-0.05202104307690547,4.81
2 °C,FSU,Gross emissions,61.99172936970038,67.32783748119604,5.336108111495662,5.336108111495662,4.81
2 °C,FSU,Novel CDR,21.375832870550454,26.416590441579938,5.040757571029484,-5.040757571029484,4.81
2 °C,LAM,CCS,5.685752144502993,5.272445823581201,-0.41330632092179176,0.41330632092179176,8.81
2 °C,LAM,Conventional CDR,121.73687699953871,121.38600035248615,-0.3508766470525586,0.3508766470525586,8.81
2 °C,LAM,Gross emissions,151.55193876579813,151.88464557845518,0.33270681265705093,0.33270681265705093,8.81
2 °C,LAM,Novel CDR,41.71837963173086,42.13484084570898,0.416461213978117,-0.416461213978117,8.81
2 °C,MEA,CCS,19.53863804406777,7.173008709755437,-12.365629334312334,12.365629334312334,5.81
2 °C,MEA,Conventional CDR,2.5399425662398034,2.5416815007246636,0.0017389344848601773,-0.0017389344848601773,5.81
2 °C,MEA,Gross emissions,180.0602080959257,136.60924364080057,-43.45096445512513,-43.45096445512513,5.81
2 °C,MEA,Novel CDR,13.306440265172851,24.52833043096336,11.22189016579051,-11.22189016579051,5.81
2 °C,NAM,CCS,5.026907189859354,3.7433661646854373,-1.2835410251739163,1.2835410251739163,0.81
2 °C,NAM,Conventional CDR,23.26804137072482,24.151358543411323,0.8833171726865032,-0.8833171726865032,0.81
2 °C,NAM,Gross emissions,153.12434533793135,145.7842032871232,-7.34014205080814,-7.34014205080814,0.81
2 °C,NAM,Novel CDR,36.370944440875974,40.13499571350595,3.7640512726299775,-3.7640512726299775,0.81
2 °C,PAO,CCS,4.0935256522871715,1.5149349208481886,-2.578590731438983,2.578590731438983,7.81
2 °C,PAO,Conventional CDR,21.41645658780433,21.41645658780433,0,-0,7.81
2 °C,PAO,Gross emissions,32.712139049597965,34.54092823183652,1.8287891822385518,1.8287891822385518,7.81
2 °C,PAO,Novel CDR,8.82706555462605,11.634555853828864,2.807490299202815,-2.807490299202815,7.81
2 °C,PAS,CCS,4.732021184735529,5.575381211118294,0.843360026382765,-0.843360026382765,9.81
2 °C,PAS,Conventional CDR,34.260296095123536,34.579042473734674,0.31874637861113797,-0.31874637861113797,9.81
2 °C,PAS,Gross emissions,101.62928969866542,106.85769503142636,5.228405332760943,5.228405332760943,9.81
2 °C,PAS,Novel CDR,14.77558233093361,14.232508987393969,-0.5430733435396409,0.5430733435396409,9.81
2 °C,RCPA,CCS,1.5346294842147772,1.0801907168211118,-0.4544387673936654,0.4544387673936654,6.81
2 °C,RCPA,Conventional CDR,11.241265442538591,10.802444837388169,-0.438820605150422,0.438820605150422,6.81
2 °C,RCPA,Gross emissions,23.370431592089197,17.763696107329586,-5.606735484759611,-5.606735484759611,6.81
2 °C,RCPA,Novel CDR,2.1136588954191153,2.493809670910002,0.3801507754908866,-0.3801507754908866,6.81
2 °C,SAS,CCS,0.9355410989084417,2.459769399991917,1.5242283010834754,-1.5242283010834754,10.81
2 °C,SAS,Conventional CDR,30.624555562034423,30.077292555808775,-0.5472630062256485,0.5472630062256485,10.81
2 °C,SAS,Gross emissions,155.65905759501356,209.77536876295815,54.11631116794459,54.11631116794459,10.81
