bud,region,xpos,net
2 °C,NAM,0.81,-10.703969470950705
2 °C,WEU,1.81,-10.698179817192639
2 °C,CHN,2.81,-25.586014894181602
2 °C,EEU,3.81,-1.4918305592687051
2 °C,FSU,4.81,-1.3030052111621178
2 °C,MEA,5.81,-42.30896422108817
2 °C,RCPA,6.81,-5.09362688770641
2 °C,PAO,7.81,1.5998896144747192
2 °C,LAM,8.81,0.6804285666532843
2 °C,PAS,9.81,4.609372271306681
2 °C,SAS,10.81,54.6605417319212
2 °C,AFR,11.81,62.04472472797658
1.5 °C,NAM,1.19,-2.899351452967074
1.5 °C,WEU,2.19,-3.7613597209250758
1.5 °C,CHN,3.19,-21.426691409456133
1.5 °C,EEU,4.19,-0.6598705701954329
1.5 °C,FSU,5.19,5.852996996033389
1.5 °C,MEA,6.19,-10.91478379429884
1.5 °C,RCPA,7.19,-4.206597501553828
1.5 °C,PAO,8.19,5.343727735317042
1.5 °C,LAM,9.19,-0.46901282714565085
1.5 °C,PAS,10.19,5.122828189263524
1.5 °C,SAS,11.19,26.298205423910822
1.5 °C,AFR,12.19,3.6517682143678876
