bud,region,state,v
2 °C,AFR,Unlimited (U),9.485781523706926
2 °C,AFR,Lowest-f. (L),4.664771945884604
2 °C,CHN,Unlimited (U),-7.087970149355292
2 °C,CHN,Lowest-f. (L),-3.897047465580014
2 °C,EEU,Unlimited (U),-0.3634725178930558
2 °C,EEU,Lowest-f. (L),-0.18304992858316962
2 °C,FSU,Unlimited (U),-0.19118367194021973
2 °C,FSU,Lowest-f. (L),0
2 °C,LAM,Unlimited (U),0.20769701000793583
2 °C,LAM,Lowest-f. (L),0
2 °C,MEA,Unlimited (U),-2.4147491232605924
2 °C,MEA,Lowest-f. (L),-0.21089589102540762
2 °C,NAM,Unlimited (U),-3.215626860400443
2 °C,NAM,Lowest-f. (L),-1.6931380893866477
2 °C,PAO,Unlimited (U),-0.27677259917838754
2 °C,PAO,Lowest-f. (L),0
2 °C,PAS,Unlimited (U),0.23305058739171683
2 °C,PAS,Lowest-f. (L),0
2 °C,RCPA,Unlimited (U),-0.29434722206212993
2 °C,RCPA,Lowest-f. (L),-0.025741195750144285
2 °C,SAS,Unlimited (U),4.838976437626856
2 °C,SAS,Lowest-f. (L),1.6476639027072342
2 °C,WEU,Unlimited (U),-0.919907011727733
2 °C,WEU,Lowest-f. (L),-0.30193209779964236
1.5 °C,AFR,Unlimited (U),18.129849997658535
1.5 °C,AFR,Lowest-f. (L),14.203777939362546
1.5 °C,CHN,Unlimited (U),-16.30029685902722
1.5 °C,CHN,Lowest-f. (L),-12.13068829793587
1.5 °C,EEU,Unlimited (U),-0.7845104644661963
1.5 °C,EEU,Lowest-f. (L),-0.5771927410609241
1.5 °C,FSU,Unlimited (U),1.1591294529956306
1.5 °C,FSU,Lowest-f. (L),0
1.5 °C,LAM,Unlimited (U),0.36983960692300594
1.5 °C,LAM,Lowest-f. (L),0
1.5 °C,MEA,Unlimited (U),-2.771394667723411
1.5 °C,MEA,Lowest-f. (L),-0.4632177250461356
1.5 °C,NAM,Unlimited (U),-6.729621187398328
1.5 °C,NAM,Lowest-f. (L),-4.989135346187199
1.5 °C,PAO,Unlimited (U),-0.09133036620254362
1.5 °C,PAO,Lowest-f. (L),0
1.5 °C,PAS,Unlimited (U),0.3838494844237403
1.5 °C,PAS,Lowest-f. (L),0
1.5 °C,RCPA,Unlimited (U),-0.7612887876280677
1.5 °C,RCPA,Lowest-f. (L),-0.25400838471837833
1.5 °C,SAS,Unlimited (U),9.188787323977776
1.5 °C,SAS,Lowest-f. (L),5.407525813535685
1.5 °C,WEU,Unlimited (U),-1.7900906802316459
1.5 °C,WEU,Lowest-f. (L),-1.19510032366786
