bud,state,grp,year,v,pct
2 °C,Source,Higher,2020,29395.969952627587,0
2 °C,Source,Lower,2020,12351.10958715948,0
2 °C,Source,World,2020,42395.30118964371,0
2 °C,Lowest-f. (L),Higher,2020,29395.969952627587,0
2 °C,Lowest-f. (L),Lower,2020,12351.10958715948,0
2 °C,Lowest-f. (L),World,2020,42395.30118964371,0
1.5 °C,Source,Higher,2020,29395.969952627587,0
1.5 °C,Source,Lower,2020,12351.10958715948,0
1.5 °C,Source,World,2020,42395.30118964371,0
1.5 °C,Lowest-f. (L),Higher,2020,29395.969952627587,0
1.5 °C,Lowest-f. (L),Lower,2020,12351.10958715948,0
1.5 °C,Lowest-f. (L),World,2020,42395.30118964371,0
2 °C,Source,Higher,2025,29317.80701468374,-0.26589678132685757
2 °C,Source,Lower,2025,13207.333204912535,6.932361920286145
2 °C,Source,World,2025,43346.93117189216,2.2446590908544284
2 °C,Lowest-f. (L),Higher,2025,29317.80701468374,-0.26589678132685757
2 °C,Lowest-f. (L),Lower,2025,13207.333204912535,6.932361920286145
2 °C,Lowest-f. (L),World,2025,43346.93117189216,2.2446590908544284
1.5 °C,Source,Higher,2025,29317.80701468374,-0.26589678132685757
1.5 °C,Source,Lower,2025,13207.333204912535,6.932361920286145
1.5 °C,Source,World,2025,43346.93117189216,2.2446590908544284
1.5 °C,Lowest-f. (L),Higher,2025,29317.80701468374,-0.26589678132685757
1.5 °C,Lowest-f. (L),Lower,2025,13207.333204912535,6.932361920286145
1.5 °C,Lowest-f. (L),World,2025,43346.93117189216,2.2446590908544284
2 °C,Source,Higher,2030,24654.252255449992,-16.130502598890274
2 °C,Source,Lower,2030,11424.021762327973,-7.506109619457435
2 °C,Source,World,2030,36853.15215151342,-13.072554935602431
2 °C,Lowest-f. (L),Higher,2030,23910.790278607485,-18.659631517039987
2 °C,Lowest-f. (L),Lower,2030,11933.998834981223,-3.377111580419434
2 °C,Lowest-f. (L),World,2030,36624.09893924103,-13.612834650205219
1.5 °C,Source,Higher,2030,23294.15145239437,-20.757330035601708
1.5 °C,Source,Lower,2030,10659.459056212754,-13.69634459972251
1.5 °C,Source,World,2030,34705.2181255342,-18.138998540687425
1.5 °C,Lowest-f. (L),Higher,2030,22782.834353207476,-22.49674227479944
1.5 °C,Lowest-f. (L),Lower,2030,11025.466163949932,-10.732990537042275
1.5 °C,Lowest-f. (L),World,2030,34560.64795937105,-18.480003704246606
2 °C,Source,Higher,2035,19471.32778213078,-33.76191425726262
2 °C,Source,Lower,2035,9541.839091289865,-22.745085986365165
2 °C,Source,World,2035,29763.04827547979,-29.79635138728468
2 °C,Lowest-f. (L),Higher,2035,18246.91907594485,-37.927140674894346
2 °C,Lowest-f. (L),Lower,2035,10353.1126605641,-16.176659372146997
2 °C,Lowest-f. (L),World,2035,29357.78360665782,-30.752270221329812
1.5 °C,Source,Higher,2035,16346.094906244098,-44.39341538113462
1.5 °C,Source,Lower,2035,8179.708129695814,-33.77349563637877
1.5 °C,Source,World,2035,25226.71292299355,-40.4964413151618
1.5 °C,Lowest-f. (L),Higher,2035,15594.702206060407,-46.94952324692229
1.5 °C,Lowest-f. (L),Lower,2035,8640.71868956845,-30.040951959882577
1.5 °C,Lowest-f. (L),World,2035,24940.49890324371,-41.171549196739385
2 °C,Source,Higher,2040,14941.802122431816,-49.170576284739234
2 °C,Source,Lower,2040,8470.326897322984,-31.420518638026284
2 °C,Source,World,2040,24113.37291839387,-43.122534239043766
2 °C,Lowest-f. (L),Higher,2040,13250.23039962939,-54.92501039774329
2 °C,Lowest-f. (L),Lower,2040,9851.18312913837,-20.240500988025367
2 °C,Lowest-f. (L),World,2040,23812.93609493522,-43.8311901868214
1.5 °C,Source,Higher,2040,10947.708326969208,-62.75779181768202
1.5 °C,Source,Lower,2040,6537.072253276991,-47.072996096860045
1.5 °C,Source,World,2040,18114.93864003273,-57.27135288177211
1.5 °C,Lowest-f. (L),Higher,2040,10203.149026608022,-65.29065364044568
1.5 °C,Lowest-f. (L),Lower,2040,7046.458661605066,-42.948780335244216
1.5 °C,Lowest-f. (L),World,2040,17881.45006172427,-57.822094524729216
2 °C,Source,Higher,2045,10880.314001584733,-62.987055643618305
2 °C,Source,Lower,2045,7145.524970296317,-42.146696052919964
2 °C,Source,World,2045,18700.13414996902,-55.891021822632844
2 °C,Lowest-f. (L),Higher,2045,8952.219897735939,-69.54609794416484
2 °C,Lowest-f. (L),Lower,2045,8800.463433745937,-28.74758845233535
2 °C,Lowest-f. (L),World,2045,18433.38768552498,-56.520210569873555
1.5 °C,Source,Higher,2045,6864.931989830534,-76.646690002427
1.5 °C,Source,Lower,2045,4660.9699808546475,-62.26274288991568
1.5 °C,Source,World,2045,12127.4242499865,-71.39441421647695
1.5 °C,Lowest-f. (L),Higher,2045,6245.4034598604385,-78.75421879283087
1.5 °C,Lowest-f. (L),Lower,2045,5268.435042268542,-57.34443933890978
1.5 °C,Lowest-f. (L),World,2045,12113.89243854258,-71.42633240331419
2 °C,Source,Higher,2050,7236.620861148613,-75.38226881844476
2 °C,Source,Lower,2050,5189.62332583989,-57.982533559291305
2 °C,Source,World,2050,13081.45309133594,-69.14409681200362
2 °C,Lowest-f. (L),Higher,2050,5607.752446575923,-80.9233971336446
2 °C,Lowest-f. (L),Lower,2050,6907.455397309137,-44.074211725153035
2 °C,Lowest-f. (L),World,2050,13166.96594191273,-68.94239320764835
1.5 °C,Source,Higher,2050,3528.7116006854817,-87.99593411487324
1.5 °C,Source,Lower,2050,2221.419835795679,-82.01441076917395
1.5 °C,Source,World,2050,6280.346453490673,-85.18622046014657
1.5 °C,Lowest-f. (L),Higher,2050,2903.2668331494383,-90.12358892110677
1.5 °C,Lowest-f. (L),Lower,2050,2974.708601731389,-75.91545455297417
1.5 °C,Lowest-f. (L),World,2050,6406.149113880248,-84.88948318771435
