bud,region,state,v
1.5 °C,CHN,Lowest-f. (L),2.7
1.5 °C,EEU,Lowest-f. (L),2.7
1.5 °C,FSU,Lowest-f. (L),2
1.5 °C,LAM,Lowest-f. (L),2.2
1.5 °C,MEA,Lowest-f. (L),2.7
1.5 °C,NAM,Lowest-f. (L),2.7
1.5 °C,PAS,Lowest-f. (L),2.0500000000000003
1.5 °C,PAO,Lowest-f. (L),2.0500000000000003
1.5 °C,RCPA,Lowest-f. (L),2.7
1.5 °C,SAS,Lowest-f. (L),1.9500000000000002
1.5 °C,AFR,Lowest-f. (L),1.9500000000000002
1.5 °C,WEU,Lowest-f. (L),2.7
1.5 °C,CHN,Unlimited (U),2.3000000000000003
1.5 °C,EEU,Unlimited (U),2.3000000000000003
1.5 °C,FSU,Unlimited (U),2.3000000000000003
1.5 °C,LAM,Unlimited (U),2.3000000000000003
1.5 °C,MEA,Unlimited (U),2.3000000000000003
1.5 °C,NAM,Unlimited (U),2.3000000000000003
1.5 °C,PAS,Unlimited (U),2.3000000000000003
1.5 °C,PAO,Unlimited (U),2.3000000000000003
1.5 °C,RCPA,Unlimited (U),2.3000000000000003
1.5 °C,SAS,Unlimited (U),2.3000000000000003
1.5 °C,AFR,Unlimited (U),2.3000000000000003
1.5 °C,WEU,Unlimited (U),2.3000000000000003
2 °C,CHN,Lowest-f. (L),1.5
2 °C,EEU,Lowest-f. (L),1.5
2 °C,FSU,Lowest-f. (L),0.9500000000000001
2 °C,LAM,Lowest-f. (L),1
2 °C,MEA,Lowest-f. (L),1.5
2 °C,NAM,Lowest-f. (L),1.5
2 °C,PAS,Lowest-f. (L),0.8500000000000001
2 °C,PAO,Lowest-f. (L),0.9500000000000001
2 °C,RCPA,Lowest-f. (L),1.5
2 °C,SAS,Lowest-f. (L),0.65
2 °C,AFR,Lowest-f. (L),0.65
2 °C,WEU,Lowest-f. (L),1.5
2 °C,CHN,Unlimited (U),1
2 °C,EEU,Unlimited (U),1
2 °C,FSU,Unlimited (U),1
2 °C,LAM,Unlimited (U),1
2 °C,MEA,Unlimited (U),1
2 °C,NAM,Unlimited (U),1
2 °C,PAS,Unlimited (U),1
2 °C,PAO,Unlimited (U),1
2 °C,RCPA,Unlimited (U),1
2 °C,SAS,Unlimited (U),1
2 °C,AFR,Unlimited (U),1
2 °C,WEU,Unlimited (U),1
