scenario_set,variant,SSP,budget,principle,start,tier,scope,delay,discount_rate,model
800fm_ecpc1990,Baseline,SSP2,800 Gt (2C),ECPC,1990,Baseline (NoPol),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc1990,Source scenario,SSP2,800 Gt (2C),ECPC,1990,Source scenario,All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc1990,U. SSP2-2C-ECPC1990,SSP2,800 Gt (2C),ECPC,1990,Unlimited (U),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc1990,L. SSP2-2C-ECPC1990,SSP2,800 Gt (2C),ECPC,1990,Lowest-feasible (L),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2015,Baseline,SSP1,800 Gt (2C),ECPC,2015,Baseline (NoPol),All mitigation,None,5% (default),SSP_SSP1_v6.5_ES
800fm_ecpc2015,Source scenario,SSP1,800 Gt (2C),ECPC,2015,Source scenario,All mitigation,None,5% (default),SSP_SSP1_v6.5_ES
800fm_ecpc2015,U. SSP1-2C-ECPC2015,SSP1,800 Gt (2C),ECPC,2015,Unlimited (U),All mitigation,None,5% (default),SSP_SSP1_v6.5_ES
800fm_ecpc2015,L. SSP1-2C-ECPC2015,SSP1,800 Gt (2C),ECPC,2015,Lowest-feasible (L),All mitigation,None,5% (default),SSP_SSP1_v6.5_ES
800fm_ecpc2015,Baseline,SSP2,800 Gt (2C),ECPC,2015,Baseline (NoPol),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2015,Source scenario,SSP2,800 Gt (2C),ECPC,2015,Source scenario,All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2015,U. SSP2-2C-ECPC2015-CDR,SSP2,800 Gt (2C),ECPC,2015,Unlimited (U),CDR-only,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2015,U. SSP2-2C-ECPC2015-Delay,SSP2,800 Gt (2C),ECPC,2015,Unlimited (U),All mitigation,10-yr,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2015,U. SSP2-2C-ECPC2015,SSP2,800 Gt (2C),ECPC,2015,Unlimited (U),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2015,L. SSP2-2C-ECPC2015-CDR,SSP2,800 Gt (2C),ECPC,2015,Lowest-feasible (L),CDR-only,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2015,L. SSP2-2C-ECPC2015-Delay,SSP2,800 Gt (2C),ECPC,2015,Lowest-feasible (L),All mitigation,10-yr,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2015,L. SSP2-2C-ECPC2015,SSP2,800 Gt (2C),ECPC,2015,Lowest-feasible (L),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2025,Baseline,SSP2,800 Gt (2C),ECPC,2025,Baseline (NoPol),All mitigation,None,5% (default),SSP_SSP2_v6.5_ES
800fm_ecpc2025,Source scenario,SSP2,800 Gt (2C),ECPC,2025,Source scenario,All mitigation,None,1%,SSP_SSP2_v6.5_ES_dr1p
